original,forecast
2024-01-01,559111.9615861194
2024-04-01,556966.4986491005
2024-07-01,527514.1416401388
2024-10-01,530495.6595433924
2025-01-01,581155.2377709062
2025-04-01,584601.0408342629
2025-07-01,548771.3950409786
2025-10-01,550680.0811321421
2026-01-01,604930.2221792849
2026-04-01,609381.1199719593
2026-07-01,572434.714927661
2026-10-01,574155.6610444168
2027-01-01,629037.2023359197
2027-04-01,633664.8318699617
2027-07-01,596522.1046895587
2027-10-01,598210.0470110853
2028-01-01,653202.5901601405
2028-04-01,657861.2895871779
2028-07-01,620684.0485394859
2028-10-01,622366.1887208537
2029-01-01,677378.2462489897
2029-04-01,682042.4078338654
2029-07-01,644859.0991699253
2029-10-01,646540.2193218775
2030-01-01,701555.707522181
2030-04-01,706220.8293668112
2030-07-01,669036.4540021531
2030-10-01,670717.3948306171
2031-01-01,725733.48615088
2031-04-01,730398.7768113562
2031-07-01,693214.2139182888
2031-10-01,694895.1232212763
2032-01-01,749911.320571398
2032-04-01,754576.6409100835
2032-07-01,717392.045049096
2032-10-01,719072.9488098331
2033-01-01,774089.1648002448
2033-04-01,778754.4903564268
2033-07-01,741569.888699604
2033-10-01,743250.7914860008
2034-01-01,798267.0107534177
2034-04-01,802932.3372268474
2034-07-01,765747.7345511036
2034-10-01,767428.6371662093
2035-01-01,822444.8570097312
2035-04-01,827110.1836444152
2035-07-01,789925.5807895428
2035-10-01,791606.483374535
2036-01-01,846622.7033193375
2036-04-01,851288.0299823703
2036-07-01,814103.4270960066
2036-10-01,815784.3296757048
2037-01-01,870800.5496383127
2037-04-01,875465.8763063293
2037-07-01,838281.2734144293
2037-10-01,839962.1759931968
2038-01-01,894978.3959589348
2038-04-01,899643.7226278275
2038-07-01,862459.1197349544
2038-10-01,864140.0223135585
2039-01-01,919156.2422798469
2039-04-01,923821.5689488938
2039-07-01,886636.9660558495
2039-10-01,888317.8686344246
2040-01-01,943334.0886008098
2040-04-01,947999.4152698838
2040-07-01,910814.8123768094
2040-10-01,912495.7149553796
2041-01-01,967511.9349217818
2041-04-01,972177.2615908604
2041-07-01,934992.6586977808
2041-10-01,936673.56127635
2042-01-01,991689.7812427552
2042-04-01,996355.1079118347
2042-07-01,959170.5050187542
2042-10-01,960851.4075973233
2043-01-01,1015867.6275637291
2043-04-01,1020532.9542328087
2043-07-01,983348.351339728
2043-10-01,985029.2539182971
2044-01-01,1040045.4738847029
2044-04-01,1044710.8005537826
2044-07-01,1007526.1976607018
2044-10-01,1009207.1002392708
2045-01-01,1064223.3202056766
2045-04-01,1068888.6468747563
2045-07-01,1031704.0439816755
2045-10-01,1033384.9465602445
2046-01-01,1088401.1665266503
2046-04-01,1093066.49319573
2046-07-01,1055881.8903026492
2046-10-01,1057562.7928812183
2047-01-01,1112579.012847624
2047-04-01,1117244.3395167037
2047-07-01,1080059.736623623
2047-10-01,1081740.639202192
2048-01-01,1136756.8591685977
2048-04-01,1141422.1858376774
2048-07-01,1104237.5829445967
2048-10-01,1105918.4855231657
2049-01-01,1160934.7054895714
2049-04-01,1165600.0321586512
2049-07-01,1128415.4292655704
2049-10-01,1130096.3318441394
2050-01-01,1185112.5518105451
2050-04-01,1189777.8784796249
2050-07-01,1152593.275586544
2050-10-01,1154274.178165113
2051-01-01,1209290.3981315189
2051-04-01,1213955.7248005986
2051-07-01,1176771.1219075178
2051-10-01,1178452.0244860868
2052-01-01,1233468.2444524926
2052-04-01,1238133.5711215723
2052-07-01,1200948.9682284915
2052-10-01,1202629.8708070605
2053-01-01,1257646.0907734663
2053-04-01,1262311.417442546
2053-07-01,1225126.8145494652
2053-10-01,1226807.7171280342
