Quarter,Passengers
2013-01-01,430496
2013-04-01,2580349
2013-07-01,1865512
2013-10-01,2176779
2014-01-01,1945105
2014-04-01,2523877
2014-07-01,1776214
2014-10-01,2027730
2015-01-01,2115916
2015-04-01,2788027
2015-07-01,1975775
2015-10-01,2302485
2016-01-01,2447393
2016-04-01,3115444
2016-07-01,2205931
2016-10-01,2475059
2017-01-01,2438009
2017-04-01,3283149
2017-07-01,2432366
2017-10-01,2583931
2018-01-01,2602605
2018-04-01,3563934
2018-07-01,2362680
2018-10-01,2615464
2019-01-01,765471
2019-04-01,1009236
2019-07-01,713892
2019-10-01,751509
2020-01-01,622306
2020-04-01,5151
2020-07-01,11514
2020-10-01,20128
2021-01-01,41392
2021-04-01,73198
2021-07-01,44061
2021-10-01,120436
2022-01-01,227128
2022-04-01,426399
2022-07-01,441573
2022-10-01,403239
2023-01-01,465602
2023-04-01,532668
2023-07-01,554782
2023-10-01,473068
