Quarter,Passengers
2013-01-01,10820
2013-04-01,12072
2013-07-01,10406
2013-10-01,11246
2014-01-01,10515
2014-04-01,11732
2014-07-01,10113
2014-10-01,10929
2015-01-01,10846
2015-04-01,12100
2015-07-01,10430
2015-10-01,11272
2016-01-01,12443
2016-04-01,13882
2016-07-01,11966
2016-10-01,12932
2017-01-01,13064
2017-04-01,14576
2017-07-01,12564
2017-10-01,13578
2018-01-01,4610
2018-04-01,5143
2018-07-01,4433
2018-10-01,4791
2019-01-01,4961
2019-04-01,5535
2019-07-01,4771
2019-10-01,5156
2020-01-01,4432
2020-04-01,716
2020-07-01,961
2020-10-01,1065
2021-01-01,1253
2021-04-01,1471
2021-07-01,1147
2021-10-01,1590
2022-01-01,1894
2022-04-01,2452
2022-07-01,2614
2022-10-01,2752
2023-01-01,3045
2023-04-01,3330
2023-07-01,3121
2023-10-01,3110
