CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 1ST QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,JANUARY 2023,,,,,,,,,TOTAL,FEBRUARY 2022,,,,,,,,,TOTAL,MARCH 2022,,,,,,,,,TOTAL,1st QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipcall,,,,"11,244",55,392,"1,748","1,068","3,217",801,"1,459",825,"1,679","10,192",48,372,"1,512",874,"3,126",732,"1,256",758,"1,514","11,694",60,519,"1,783","1,103","2,858","1,304","1,446",853,"1,768","33,130",163,"1,283","5,043","3,045","9,201","2,837","4,161","2,436","4,961"
,domestic ,,,"11,167",18,392,"1,748","1,061","3,209",799,"1,459",815,"1,666","10,127",15,372,"1,512",864,"3,126",732,"1,256",749,"1,501","11,618",20,519,"1,783","1,095","2,851","1,304","1,446",843,"1,757","32,912",53,"1,283","5,043","3,020","9,186","2,835","4,161","2,407","4,924"
,foreign,,,77,37,,,7,8,2,,10,13,65,33,,,10,,,,9,13,76,40,,,8,7,,,10,11,218,110,0,0,25,15,2,0,29,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger,,,,"1,561,880",0,"180,034","365,348","326,766","125,889","126,961","157,629","122,393","156,860","1,205,320",0,"123,241","248,193","231,519","135,540","110,781","132,882","93,243","129,921","1,308,149",0,"129,569","288,176","258,261","125,153","135,250","138,978","101,467","131,295","4,075,349",0,"432,844","901,717","816,546","386,582","372,992","429,489","317,103","418,076"
,disembarking,,,"845,948",,"102,125","192,045","190,326","62,053","63,109","78,840","69,200","88,250","624,842",,"64,110","127,856","130,282","64,865","53,537","66,565","50,255","67,372","675,278",,"66,284","145,132","144,994","60,435","66,613","69,218","54,339","68,263","2,146,068",0,"232,519","465,033","465,602","187,353","183,259","214,623","173,794","223,885"
,emmbarking,,,"715,932",,"77,909","173,303","136,440","63,836","63,852","78,789","53,193","68,610","580,478",,"59,131","120,337","101,237","70,675","57,244","66,317","42,988","62,549","632,871",,"63,285","143,044","113,267","64,718","68,637","69,760","47,128","63,032","1,929,281",0,"200,325","436,684","350,944","199,229","189,733","214,866","143,309","194,191"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
