Quarter,Passengers
2013-01-01,458320
2013-04-01,572634
2013-07-01,409088
2013-10-01,490465
2014-01-01,427550
2014-04-01,564980
2014-07-01,396993
2014-10-01,454623
2015-01-01,469791
2015-04-01,621096
2015-07-01,452918
2015-10-01,526174
2016-01-01,530753
2016-04-01,692207
2016-07-01,493196
2016-10-01,568364
2017-01-01,519297
2017-04-01,707693
2017-07-01,534290
2017-10-01,580353
2018-01-01,570784
2018-04-01,784857
2018-07-01,520694
2018-10-01,605266
2019-01-01,791652
2019-04-01,841623
2019-07-01,710965
2019-10-01,832343
2020-01-01,921223
2020-04-01,642
2020-07-01,18025
2020-10-01,48933
2021-01-01,64424
2021-04-01,74809
2021-07-01,35813
2021-10-01,96644
2022-01-01,168240
2022-04-01,333542
2022-07-01,348069
2022-10-01,389345
2023-01-01,436684
2023-04-01,488536
2023-07-01,491921
2023-10-01,513741
