CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,1st Quarter,,,,,,,,,TOTAL,2nd Quarter,,,,,,,,,TOTAL,3rd Quarter,,,,,,,,,TOTAL,4th Quarter,,,,,,,,,Grand Total,Grand Total,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,Bulk,,,"958,391",,"6,407","118,034","87,236","338,373","22,416","74,962","144,985","165,978","1,070,047",40,"1,227","153,089","91,690","362,529","77,904","100,971","124,951","157,648","1,087,716",,"2,001","143,962","96,681","344,090","46,313","86,717","189,383","178,569","805,987",48,"18,251","112,346","62,263","296,779","36,621","95,584","66,302","117,793","3,922,142",88,"27,886","527,431","337,870","1,341,771","183,254","358,234","525,621","619,988"
,Containerized,,,"999,673","87,921","764,697","7,071","14,833","125,152",0,,0,0,"989,389","82,373","750,330","8,601","41,913","106,173",0,,,,"947,056","74,690","619,946","9,398","118,948","124,075",0,,0,,"993,773","80,588","631,330","9,573","144,883","127,400",0,,0,,"3,929,891","325,571","2,766,304","34,642","320,575","482,799",0,0,0,0
,Rolling,,,"3,318,502",360,"179,235","43,580","51,087","556,059","543,742","689,528","717,702","537,209","3,795,766",,"225,767","58,341","49,691","588,383","541,094","870,320","684,731","777,440","3,459,213",,"216,502","61,882","50,904","610,379","490,074","728,571","660,147","640,754","3,631,106",,"259,374","100,451","82,552","415,589","537,322","832,052","663,698","740,071","14,204,586",360,"880,877","264,255","234,233","2,170,409","2,112,231","3,120,470","2,726,278","2,695,473"
,Outbound,,,"5,744,556","21,898","1,101,604","121,888","386,055","710,498","590,735","697,211","768,485","1,346,182","6,230,486","26,298","1,146,527","129,051","417,728","754,747","651,299","872,189","832,849","1,399,799","6,084,803","30,158","991,263","123,936","410,488","791,900","544,204","742,668","869,602","1,580,584","5,590,147","21,831","899,054","170,824","396,104","589,269","572,126","855,815","798,781","1,286,344","23,649,992","100,184","4,138,449","545,699","1,610,375","2,846,414","2,358,363","3,167,883","3,269,717","5,612,908"
,Breakbulk,,,"1,328,939","5,585","368,024","48,910","253,723","79,985","20,738","3,436","1,752","546,785","1,309,119","5,405","412,360","42,708","269,264","74,204","28,393","6,220",816,"469,749","1,285,667","8,355","302,671","54,558","248,016","62,570","15,670","15,645","1,000","577,181","970,433","2,991","196,977","51,073","204,588","65,382","21,915","37,104","2,955","387,449","4,894,157","22,336","1,280,032","197,249","975,592","282,140","86,716","62,406","6,523","1,981,164"
,Bulk,,,"406,509",,0,"7,452",21,"22,135",0,,"11,001","365,900","415,032",,"1,208","7,020","9,309","21,182",0,"3,578","21,954","350,781","590,521","4,500","1,600","11,785","8,943","27,915",9,451,"74,051","461,267","347,143",,"3,400","13,236","22,621","8,066",0,,"20,817","279,003","1,759,205","4,500","6,208","39,493","40,893","79,298",9,"4,029","127,823","1,456,952"
,Containerized,,,"965,507","15,523","512,374","17,719","52,719","93,450",0,,"228,248","45,474","727,501","20,353","480,690","16,266","63,105","88,358",0,,"4,375","54,355","725,996","17,063","462,236","12,793","75,591","103,469",0,,"1,925","52,920","640,754","18,410","426,493","14,700","60,655","96,171",0,,0,"24,325","3,059,758","71,348","1,881,793","61,478","252,070","381,448",0,0,"234,548","177,074"
,Rolling,,,"3,043,602",790,"221,206","47,807","79,592","514,928","569,997","693,775","527,484","388,023","3,778,835",540,"252,270","63,057","76,050","571,003","622,906","862,391","805,704","524,914","3,482,619",240,"224,756","44,801","77,937","597,946","528,525","726,573","792,626","489,216","3,631,817",430,"272,185","91,814","108,241","419,650","550,211","818,711","775,009","595,567","13,936,872","2,000","970,417","247,480","341,820","2,103,528","2,271,639","3,101,449","2,900,823","1,997,719"
,Foreign,,,"3,416,322","1,388,135",0,0,"59,660","291,300","52,551",0,"558,551","1,066,124","3,688,446","1,365,144",0,0,"35,916","303,048","52,625",0,"852,746","1,078,968","4,109,782","1,440,704",0,0,"37,088","402,234","2,494",0,"919,177","1,308,084","3,447,025","1,273,408",0,0,"36,724","372,019","55,267",0,"761,637","947,970","14,661,575","5,467,391",0,0,"169,389","1,368,600","162,937",0,"3,092,111","4,401,147"
,Export,,,"590,558","258,221",0,0,0,"17,799",0,0,"26,438","288,100","635,460","272,213",0,0,0,"7,600",0,0,"34,363","321,285","608,933","297,364",0,0,0,0,0,0,"32,346","279,222","502,400","269,430",0,0,0,"4,079",0,0,"26,941","201,950","2,337,351","1,097,228",0,0,0,"29,478",0,0,"120,088","1,090,557"
