CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 2ND QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,APRIL 2022,,,,,,,,,TOTAL,MAY 2022,,,,,,,,,TOTAL,JUNE 2022,,,,,,,,,TOTAL,2ND QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipcall,,,,"8,797",44,460,"1,012",733,"2,258",726,"1,711",611,"1,242","9,197",65,454,"1,249",846,"2,079",840,"1,697",706,"1,261","9,229",52,375,"1,294",873,"2,102",914,"1,660",664,"1,295","27,223",161,"1,289","3,555","2,452","6,439","2,480","5,068","1,981","3,798"
,domestic ,,,"8,717",12,460,"1,012",720,"2,248",725,"1,711",599,"1,230","9,103",22,454,"1,249",831,"2,071",839,"1,697",694,"1,246","9,141",18,375,"1,294",858,"2,095",912,"1,660",650,"1,279","26,961",52,"1,289","3,555","2,409","6,414","2,476","5,068","1,943","3,755"
,foreign,,,80,32,,,13,10,1,,12,12,94,43,,,15,8,1,,12,15,88,34,,,15,7,2,,14,16,262,109,0,0,43,25,4,0,38,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger,,,,"1,244,441",0,"146,877","165,445","217,075","142,161","119,137","220,043","90,755","142,948","1,630,773",0,"207,786","279,754","328,250","132,032","164,668","238,241","118,058","161,984","1,444,448",0,"153,902","248,394","282,447","123,440","188,693","192,795","108,738","146,039","4,319,662",0,"508,565","693,593","827,772","397,633","472,498","651,079","317,551","450,971"
,disembarking,,,"615,292",,"74,500","83,041","108,257","65,754","59,505","108,465","46,428","69,342","835,080",,"105,888","144,627","171,727","69,825","83,783","118,351","60,889","79,990","762,016",,"77,551","132,383","146,415","65,360","115,344","96,467","55,222","73,274","2,212,388",0,"257,939","360,051","426,399","200,939","258,632","323,283","162,539","222,606"
,emmbarking,,,"629,149",,"72,377","82,404","108,818","76,407","59,632","111,578","44,327","73,606","795,693",,"101,898","135,127","156,523","62,207","80,885","119,890","57,169","81,994","682,432",,"76,351","116,011","136,032","58,080","73,349","96,328","53,516","72,765","2,107,274",0,"250,626","333,542","401,373","196,694","213,866","327,796","155,012","228,365"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
