CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 2ND QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,APRIL 2022,,,,,,,,,TOTAL,MAY 2022,,,,,,,,,TOTAL,JUNE 2022,,,,,,,,,TOTAL,2ND QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
Cargo throughput (MT),,,,"5,301,206","394,499","745,755","206,626","334,905","692,098","463,686","424,708","892,034","1,146,896","5,824,472","644,184","742,475","217,411","368,580","525,872","481,266","684,221","839,771","1,320,692","5,869,887","516,943","720,151","256,442","399,401","556,688","547,422","685,952","923,795","1,263,093","16,995,565","1,555,626","2,208,381","680,479","1,102,885","1,774,659","1,492,374","1,794,881","2,655,600","3,730,681"
,Domestic,,,"4,058,969","49,970","745,755","206,626","320,057","477,263","408,686","424,708","539,900","886,005","4,550,708","79,407","742,475","217,411","349,561","525,872","478,789","684,221","538,706","934,266","4,692,551","66,094","720,151","256,442","389,442","556,688","504,254","685,952","568,188","945,340","13,302,228","195,471","2,208,381","680,479","1,059,060","1,559,823","1,391,729","1,794,881","1,646,793","2,765,611"
,  Inbound,,,"2,162,376","46,311","392,169","80,453","166,057","293,853","204,240","354,042","284,127","341,123","2,300,289","64,213","384,877","119,231","168,351","327,662","242,340","356,346","263,631","373,638","2,414,109","56,061","365,793","142,524","189,689","340,214","265,391","360,864","299,675","393,899","6,876,774","166,585","1,142,840","342,207","524,097","961,729","711,971","1,071,252","847,433","1,108,659"
,     Breakbulk,,,"128,797","30,211","20,410","3,532","43,169","27,789","3,087",599,,,"142,801","34,673","23,255","3,993","47,073","28,687","2,833",13,24,"2,250","152,461","35,691","25,799","4,108","52,403","32,024","2,401",35,0,,"424,058","100,575","69,464","11,632","142,645","88,499","8,321",648,24,"2,250"
,     Bulk,,,"250,152",,"1,500","35,031","16,640","107,410",,"33,417","37,474","18,679","243,111",,0,"37,903","9,946","130,643",,"23,540","4,407","36,671","346,545",,0,"40,213","20,834","129,372","36,885","35,489","31,456","52,297","839,808",0,"1,500","113,147","47,421","367,425","36,885","92,447","73,337","107,647"
,     Containerized,,,"353,876","16,100","238,088","4,401","61,355","33,933",,,,,"363,641","29,540","238,683","1,698","54,924","38,798",,,,,"357,805","20,370","241,719","5,653","53,156","36,908",,,0,,"1,075,323","66,010","718,489","11,751","169,435","109,638",0,0,0,0
,     Rolling,,,"1,429,551",,"132,172","37,489","44,893","124,722","201,153","320,026","246,653","322,444","1,550,737",,"122,940","75,637","56,408","129,535","239,508","332,793","259,201","334,717","1,557,298",,"98,276","92,551","63,296","141,911","226,105","325,339","268,220","341,602","4,537,586",0,"353,388","205,677","164,596","396,167","666,766","978,158","774,073","998,762"
,  Outbound,,,"1,896,593","3,659","353,586","126,173","153,999","183,410","204,446","70,666","255,773","544,882","2,250,419","15,194","357,598","98,181","181,210","198,211","236,448","327,875","275,075","560,629","2,278,442","10,033","354,357","113,919","199,753","216,474","238,863","325,088","268,513","551,441","6,425,453","28,886","1,065,541","338,272","534,962","598,094","679,757","723,629","799,360","1,656,952"
,     Breakbulk,,,"343,738","1,944","58,281","15,646","77,951","24,945","11,366",619,"7,557","145,430","386,131","3,329","65,343","17,041","84,710","27,783","11,694",581,"6,310","169,340","378,249",898,"72,345","17,431","88,208","30,352","8,453",868,"8,254","151,439","1,108,118","6,171","195,969","50,118","250,869","83,080","31,513","2,068","22,121","466,209"
,     Bulk,,,"188,359",,600,"60,670","8,220","3,066",,,300,"115,503","130,928",,0,"4,222","19,648","2,192",,,"2,108","102,758","135,123",,0,"6,418","30,740",900,,,"2,240","94,825","454,410",0,600,"71,310","58,608","6,158",0,0,"4,648","313,086"
,     Containerized,,,"222,898","1,715","159,128","6,904","19,014","27,843",,,,"8,295","234,159","11,865","165,200","2,914","20,886","24,999",,,,"8,295","270,690","9,135","185,238","9,275","20,790","34,808",,,0,"11,445","727,746","22,715","509,565","19,093","60,690","87,649",0,0,0,"28,035"
,     Rolling,,,"1,141,599",,"135,578","42,954","48,814","127,557","193,080","70,047","247,916","275,654","1,499,202",,"127,054","74,004","55,966","143,237","224,755","327,294","266,657","280,236","1,494,380",,"96,775","80,795","60,015","150,414","230,410","324,220","258,019","293,732","4,135,180",0,"359,407","197,752","164,795","421,207","648,245","721,561","772,591","849,622"
,Foreign,,,"1,242,237","344,529",0,0,"14,848","214,835","55,000",0,"352,134","260,891","1,273,764","564,777",0,0,"19,019",0,"2,477",0,"301,065","386,426","1,177,337","450,849",0,0,"9,959",0,"43,168",0,"355,607","317,753","3,693,338","1,360,155",0,0,"43,826","214,835","100,645",0,"1,008,806","965,070"
,Export,,,"156,668","74,918",0,0,0,"7,700",0,0,"10,950","63,100","165,958","119,228",0,0,0,0,0,0,"15,730","31,000","177,358","91,700",0,0,0,0,0,0,"9,158","76,500","499,984","285,845",0,0,0,"7,700",0,0,"35,839","170,600"
,Breakbulk,,,456,,,,,,,,456,,0,,,,,,,,,,123,,,,,,,,123,,578,0,0,0,0,0,0,0,578,0
,Bulk,,,"81,295",,,,,"7,700",,,"10,495","63,100","46,730",,,,,,,,"15,730","31,000","85,536",,,,,,,,"9,036","76,500","213,561",0,0,0,0,"7,700",0,0,"35,261","170,600"
,Containerized,,,"74,918","74,918",,,,,,,,,"119,228","119,228",,,,,,,,,"91,700","91,700",,,,,,,0,,"285,845","285,845",0,0,0,0,0,0,0,0
,Rolling,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
,Import,,,"1,085,569","269,611",0,0,"14,848","207,135","55,000",0,"341,184","197,791","1,107,806","445,550",0,0,"19,019",0,"2,477",0,"285,335","355,426","999,978","359,149",0,0,"9,959",0,"43,168",0,"346,448","241,253","3,193,354","1,074,310",0,0,"43,826","207,135","100,645",0,"972,967","794,470"
,Breakbulk,,,"53,300","40,138",,,,,,,"13,162",,"115,890","105,862",,,,,,,"10,028",,"53,219","43,213",,,,,,,10006.118,,"222,408","189,212",0,0,0,0,0,0,"33,196",0
,Bulk,,,"802,796",,,,"14,848","207,135",55000,,"328,022","197,791","652,228",,,,"19,019",,2477,,"275,307","355,426","639,823","9,000",,,"9,959",,43168,,336442.36,"241,253","2,094,847","9,000",0,0,"43,826","207,135","100,645",0,"939,771","794,470"
,Containerized,,,"229,473","229,473",,,,,,,,,"339,688","339,688",,,,,,,,,"306,937","306,937",,,,,,,0,,"876,098","876,098",0,0,0,0,0,0,0,0
,Rolling,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container (TEU),,,,"70,816","30,446","26,560",871,"8,222","3,771",0,0,0,946,"82,674","42,373","28,002",373,"7,045","3,764",0,0,0,"1,118","82,030","39,395","28,736","1,086","7,284","4,218",0,0,0,"1,312","235,520","112,214","83,298","2,330","22,551","11,753",0,0,0,"3,376"
,Domestic,,,"41,651","1,281","26,560",871,"8,222","3,771",0,0,0,946,"43,346","3,045","28,002",373,"7,045","3,764",0,0,0,"1,118","44,612","1,977","28,736","1,086","7,284","4,218",0,0,0,"1,312","129,609","6,303","83,298","2,330","22,551","11,753",0,0,0,"3,376"
,Inbound,,,"21,916",920,"14,018",477,"3,974","2,056",0,0,0,472,"22,619","1,688","14,188",207,"3,664","2,315",0,0,0,558,"22,598","1,164","14,345",556,"3,647","2,229",0,0,0,658,"67,132","3,772","42,550","1,239","11,284","6,600",0,0,0,"1,688"
,Empties,,,"1,695",,413,225,468,117,,,,472,"1,839",,549,110,525,98,,,,558,"2,152",,532,233,609,120,,,,658,"5,685",0,"1,493",567,"1,602",335,0,0,0,"1,688"
,Fulls,,,"20,222",920,"13,605",252,"3,506","1,939",,,,,"20,780","1,688","13,639",97,"3,139","2,217",,,,,"20,446",1164,"13,813",323,"3,038","2,109",,,,,"61,447","3,772","41,057",672,"9,682","6,265",0,0,0,0
,Outbound,,,"19,735",361,"12,543",395,"4,248","1,715",0,0,0,474,"20,728","1,357","13,814",167,"3,382","1,449",0,0,0,560,"22,015",813,"14,392",530,"3,637","1,989",0,0,0,654,"62,477","2,531","40,748","1,091","11,267","5,153",0,0,0,"1,688"
,Empties,,,"6,998",263,"3,450",0,"3,162",124,,,,,"7,261",679,"4,374",0,"2,188",20,,,,,"6,547",291,"3,807",0,"2,449",,,,,,"20,806","1,233","11,630",0,"7,799",144,0,0,0,0
,Fulls,,,"12,737",98,"9,093",395,"1,087","1,591",,,,474,"13,467",678,"9,440",167,"1,194","1,429",,,,560,"15,468",522,"10,585",530,"1,188","1,989",,,,654,"41,672","1,298","29,118","1,091","3,468","5,009",0,0,0,"1,688"
,Foreign,,,"29,165","29,165",0,0,0,0,0,0,0,0,"39,328","39,328",0,0,0,0,0,0,0,0,"37,418","37,418",0,0,0,0,0,0,0,0,"105,911","105,911",0,0,0,0,0,0,0,0
,Export,,,"16,037","16,037",0,0,0,0,0,0,0,0,"19,917","19,917",0,0,0,0,,0,0,0,"19,862","19,862",0,0,0,0,,0,0,0,"55,816","55,816",0,0,0,0,0,0,0,0
,Empties,,,"11,756","11,756",,,,,,,,,"13,104","13,104",,,,,,,,,"14,622","14,622",,,,,,0,,,"39,482","39,482",0,0,0,0,0,0,0,0
,Fulls,,,"4,281","4,281",,,,,,,,,"6,813","6,813",,,,,,,,,"5,240","5,240",,,,,,0,,,"16,334","16,334",0,0,0,0,0,0,0,0
,Import,,,"13,128","13,128",0,0,0,0,0,0,0,0,"19,411","19,411",0,0,0,0,0,0,0,0,"17,556","17,556",0,0,0,0,0,0,0,0,"50,095","50,095",0,0,0,0,0,0,0,0
,Empties,,,15,15,,,,,,,,,0,,,,,,,,,,17,17,,,,,,,,,32,32,0,0,0,0,0,0,0,0
,Fulls,,,"13,113","13,113",,,,,,,,,"19,411","19,411",,,,,,,,,"17,539","17,539",,,,,,,,,"50,063","50,063",0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolling Cargoes (No. of Units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic,,,"  135,647 ",  -   ,"  13,197 ","  4,410 ","  3,630 ","  6,387 ","  20,439 ","  32,734 ","  21,850 ","  33,000 ","  154,047 ",  -   ,"  12,995 ","  9,920 ","  4,869 ","  6,385 ","  26,426 ","  32,749 ","  25,789 ","  34,914 ","  136,379 ",  -   ,"  8,346 ","  9,284 ","  4,401 ","  6,911 ","  21,926 ","  28,860 ","  23,134 ","  33,517 ","  426,073 ",  -   ,"  34,538 ","  23,614 ","  12,900 ","  19,683 ","  68,791 ","  94,343 ","  70,773 ","  101,431 "
,Inbound,,,"  67,057 ",  -   ,"  6,738 ","  2,003 ","  1,578 ","  3,137 ","  10,293 ","  16,256 ","  10,865 ","  16,187 ","  77,202 ",  -   ,"  6,876 ","  5,227 ","  2,315 ","  3,021 ","  13,436 ","  16,240 ","  12,702 ","  17,385 ","  67,916 ",  -   ,"  4,315 ","  4,985 ","  2,082 ","  3,333 ","  10,963 ","  14,304 ","  11,588 ","  16,346 ","  212,175 ",  -   ,"  17,929 ","  12,215 ","  5,975 ","  9,491 ","  34,692 ","  46,800 ","  35,155 ","  49,918 "
,10W  26000-over,,,"  7,120 ",,"  1,080 ",  212 ,  567 ,1678,  207 ,"  2,138 ",  397 ,  841 ,"  7,793 ",,"  1,034 ",  388 ,  679 ,1792,  171 ,"  2,275 ",  547 ,  907 ,"  8,603 ",  -   ,  999 ,  562 ,  795 ,1925,  332 ,"  2,346 ",  638 ,"  1,006 ","  23,516 ",0,"3,113","1,162","2,041","5,395",710,"6,759","1,582","2,754"
,4W  1100-2300,,,"  10,574 ",,  899 ,  368 ,  89 ,290,"  3,175 ","  1,486 ","  1,714 ","  2,553 ","  12,384 ",,  871 ,"  1,111 ",  127 ,,"  4,050 ","  1,664 ","  2,033 ","  2,528 ","  10,246 ",  -   ,  728 ,"  1,228 ",  93 ,,"  3,578 ",  952 ,"  1,550 ","  2,117 ","  33,204 ",0,"2,498","2,707",309,290,"10,803","4,102","5,297","7,198"
,4W  2400-over,,,"  15,052 ",,"  2,507 ",  363 ,  322 ,217,  -   ,"  5,376 ","  1,681 ","  4,586 ","  15,682 ",,"  2,305 ","  1,121 ",  450 ,437,  -   ,"  4,880 ","  1,881 ","  4,608 ","  15,116 ",  -   ,"  1,308 ","  1,362 ",  423 ,421,  4 ,"  5,159 ","  2,057 ","  4,382 ","  45,850 ",0,"6,120","2,846","1,195","1,075",4,"15,415","5,619","13,576"
,6W  4800-7500,,,"  4,564 ",,  68 ,  177 ,  13 ,345,"  1,561 ",  629 ,  716 ,"  1,055 ","  4,482 ",,  69 ,  251 ,  31 ,,"  1,717 ",  623 ,  800 ,  991 ,"  4,512 ",  -   ,  65 ,  334 ,  72 ,,"  1,731 ",  474 ,  778 ,"  1,058 ","  13,558 ",0,202,762,116,345,"5,009","1,726","2,294","3,104"
,6W  7600-15000,,,"  4,542 ",,  399 ,  199 ,  121 ,278,  -   ,"  2,023 ",  452 ,"  1,070 ","  5,147 ",,  327 ,  271 ,  140 ,452,  -   ,"  2,325 ",  462 ,"  1,170 ","  5,344 ",  -   ,  199 ,  361 ,  158 ,586,  -   ,"  2,193 ",  596 ,"  1,251 ","  15,033 ",0,925,831,419,"1,316",0,"6,541","1,510","3,491"
,8W-10W  20000-25000,,,"  8,537 ",,  46 ,  46 ,  4 ,14,"  2,617 ",  169 ,"  3,198 ","  2,443 ","  8,977 ",,  16 ,  49 ,  1 ,21,"  3,130 ",  211 ,"  2,981 ","  2,568 ","  8,934 ",  -   ,  18 ,  38 ,  2 ,31,"  2,811 ",  222 ,"  3,112 ","  2,700 ","  26,448 ",0,80,133,7,66,"8,558",602,"9,291","7,711"
,Heavy Equipment,,,  37 ,,  3 ,  17 ,  1 ,,  -   ,  11 ,  4 ,  1 ,  91 ,,  2 ,  35 ,  9 ,1,  -   ,  12 ,  27 ,  5 ,  55 ,  -   ,  4 ,  21 ,  5 ,2,  3 ,  10 ,  8 ,  2 ,  183 ,0,9,73,15,3,3,33,39,8
,Motor Cycle/ Motor Bike,,,"  16,631 ",,"  1,736 ",  621 ,  461 ,315,"  2,733 ","  4,424 ","  2,703 ","  3,638 ","  22,646 ",,"  2,252 ","  2,001 ",  878 ,318,"  4,368 ","  4,250 ","  3,971 ","  4,608 ","  15,106 ",  -   ,  994 ,"  1,079 ",  534 ,368,"  2,504 ","  2,948 ","  2,849 ","  3,830 ","  54,383 ",0,"4,982","3,701","1,873","1,001","9,605","11,622","9,523","12,076"
,Outbound,,,"  68,590 ",  -   ,"  6,459 ","  2,407 ","  2,052 ","  3,250 ","  10,146 ","  16,478 ","  10,985 ","  16,813 ","  76,845 ",  -   ,"  6,119 ","  4,693 ","  2,554 ","  3,364 ","  12,990 ","  16,509 ","  13,087 ","  17,529 ","  68,463 ",  -   ,"  4,031 ","  4,299 ","  2,319 ","  3,578 ","  10,963 ","  14,556 ","  11,546 ","  17,171 ","  213,898 ",  -   ,"  16,609 ","  11,399 ","  6,925 ","  10,192 ","  34,099 ","  47,543 ","  35,618 ","  51,513 "
,10W  26000-over,,,"  6,572 ",,"  1,102 ",  251 ,  557 ,"  1,684 ",  188 ,"  2,046 ",  309 ,  435 ,"  7,212 ",,"  1,140 ",  415 ,  636 ,"  1,984 ",  116 ,"  2,174 ",  245 ,  502 ,"  7,459 ",  -   ,  932 ,  486 ,  689 ,"  1,976 ",  289 ,"  2,293 ",  224 ,  570 ,"  21,243 ",0,"3,174","1,152","1,882","5,644",593,"6,513",778,"1,507"
,4W  1100-2300,,,"  11,524 ",,  984 ,  480 ,  216 ,  290 ,"  3,274 ","  1,554 ","  1,593 ","  3,133 ","  12,857 ",,  926 ,  921 ,  269 ,,"  4,114 ","  1,846 ","  1,834 ","  2,947 ","  11,005 ",  -   ,  664 ,"  1,036 ",  213 ,,"  3,587 ","  1,072 ","  1,675 ","  2,758 ","  35,386 ",0,"2,574","2,437",698,290,"10,975","4,472","5,102","8,838"
,4W  2400-over,,,"  15,776 ",,"  2,509 ",  471 ,  468 ,  278 ,  -   ,"  5,451 ","  1,655 ","  4,944 ","  16,009 ",,"  2,073 ","  1,080 ",  472 ,  544 ,  -   ,"  4,849 ","  2,009 ","  4,982 ","  15,989 ",  -   ,"  1,446 ","  1,071 ",  484 ,  539 ,  4 ,"  5,204 ","  2,026 ","  5,215 ","  47,774 ",0,"6,028","2,622","1,424","1,361",4,"15,504","5,690","15,141"
,6W  4800-7500,,,"  4,253 ",,  78 ,  175 ,  14 ,  345 ,"  1,486 ",  629 ,  762 ,  764 ,"  4,638 ",,  125 ,  258 ,  38 ,,"  1,682 ",  630 ,"  1,102 ",  803 ,"  4,412 ",  -   ,  94 ,  355 ,  29 ,,"  1,682 ",  476 ,  830 ,  946 ,"  13,303 ",0,297,788,81,345,"4,850","1,735","2,694","2,513"
,6W  7600-15000,,,"  4,870 ",,  416 ,  187 ,  135 ,  259 ,  -   ,"  2,011 ",  424 ,"  1,438 ","  5,385 ",,  347 ,  274 ,  159 ,  421 ,  -   ,"  2,331 ",  445 ,"  1,408 ","  5,531 ",  -   ,  171 ,  355 ,  184 ,  592 ,  -   ,"  2,188 ",  588 ,"  1,453 ","  15,786 ",0,934,816,478,"1,272",0,"6,530","1,457","4,299"
,8W-10W  20000-25000,,,"  7,575 ",,  49 ,  49 ,  1 ,  25 ,"  2,425 ",  188 ,"  3,293 ","  1,545 ","  8,086 ",,  13 ,  53 ,  6 ,  21 ,"  2,888 ",  185 ,"  3,338 ","  1,582 ","  8,323 ",  -   ,  29 ,  39 ,  8 ,  22 ,"  2,936 ",  218 ,"  3,401 ","  1,670 ","  23,984 ",0,91,141,15,68,"8,249",591,"10,032","4,797"
,Heavy Equipment,,,  98 ,,  10 ,  20 ,  4 ,  10 ,  4 ,  8 ,  28 ,  14 ,  107 ,,  2 ,  29 ,  3 ,  12 ,  -   ,  10 ,  43 ,  8 ,  93 ,  -   ,  12 ,  14 ,  11 ,  33 ,  1 ,  12 ,  4 ,  6 ,  298 ,0,24,63,18,55,5,30,75,28
,Motor Cycle/ Motor Bike,,,"  17,922 ",,"  1,311 ",  774 ,  657 ,  359 ,"  2,769 ","  4,591 ","  2,921 ","  4,540 ","  22,551 ",,"  1,493 ","  1,663 ",  971 ,  382 ,"  4,190 ","  4,484 ","  4,071 ","  5,297 ","  15,651 ",  -   ,  683 ,  943 ,  701 ,  416 ,"  2,464 ","  3,093 ","  2,798 ","  4,553 ","  56,124 ",0,"3,487","3,380","2,329","1,157","9,423","12,168","9,790","14,390"
