CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 3RD QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,JULY 2022,,,,,,,,,TOTAL,AUGUST 2022,,,,,,,,,TOTAL,SEPTEMBER 2022,,,,,,,,,TOTAL,3RD QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipcall,,,,"10,166",56,381,"1,344",912,"2,504",751,"1,647",695,"1,876","10,128",54,389,"1,436",882,"2,323",738,"1,696",739,"1,871","9,628",46,366,"1,370",820,"2,178",787,"1,436",782,"1,843","29,922",156,"1,136","4,150","2,614","7,005","2,276","4,779","2,216","5,590"
,domestic ,,,"10,080",21,381,"1,344",897,"2,493",749,"1,647",682,"1,866","10,043",14,389,"1,436",871,"2,315",736,"1,696",732,"1,854","9,550",15,366,"1,370",810,"2,169",786,"1,436",767,"1,831","29,673",50,"1,136","4,150","2,578","6,977","2,271","4,779","2,181","5,551"
,foreign,,,86,35,,0,15,11,2,0,13,10,85,40,0,0,11,8,2,0,7,17,78,31,,,10,9,1,,15,12,249,106,0,0,36,28,5,0,35,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger,,,,"1,553,905",0,"164,928","269,429","325,433","192,358","125,244","198,565","114,666","163,282","1,406,328",0,"163,313","258,317","288,494","132,034","113,522","175,846","116,970","157,832","1,042,844",0,"103,081","218,029","213,400","88,957","58,423","129,273","97,599","134,082","4,003,077",0,"431,322","745,775","827,327","413,349","297,189","503,684","329,235","455,196"
,disembarking,,,"811,119",,"85,274","144,207","173,607","102,911","61,329","99,514","60,522","83,755","722,519",,"83,887","136,996","154,307","60,568","56,199","87,800","60,616","82,146","548,191",,"51,405","116,503","113,659","41,808","40,083","64,700","50,460","69,573","2,081,829",0,"220,566","397,706","441,573","205,287","157,611","252,014","171,598","235,474"
,embarking,,,"742,786",,"79,654","125,222","151,826","89,447","63,915","99,051","54,144","79,527","683,809",,"79,426","121,321","134,187","71,466","57,323","88,046","56,354","75,686","494,653",,"51,676","101,526","99,741","47,149","18,340","64,573","47,139","64,509","1,921,248",0,"210,756","348,069","385,754","208,062","139,578","251,670","157,637","219,722"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
