CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,1st Quarter,,,,,,,,,TOTAL,2nd Quarter,,,,,,,,,TOTAL,3rd Quarter,,,,,,,,,TOTAL,4th Quarter,,,,,,,,,Grand Total,Grand Total,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
Cargo throughput (MT),,,,"13,862,698","1,324,958","2,526,453","655,350","800,631","2,011,517","1,117,729","952,040","1,502,159","2,971,860","15,560,059","1,478,885","2,595,369","675,648","1,131,779","2,264,601","1,141,928","1,087,818","1,825,585","3,358,445","14,892,009","1,499,266","2,629,402","629,064","808,898","2,373,063","1,044,361","998,996","1,682,072","3,226,887","14,677,342","1,475,285","2,617,028","639,509","834,194","2,029,119","969,946","1,066,032","1,770,484","3,275,745","58,992,107","5,778,393","10,368,252","2,599,570","3,575,502","8,678,300","4,273,964","4,104,887","6,780,301","12,832,938"
,Domestic,,,"10,518,998","104,755","2,526,453","655,350","767,009","1,795,154","981,039","952,040","1,004,745","1,732,452","11,731,462","106,663","2,595,369","675,648","1,070,056","1,964,239","1,029,641","1,087,818","1,104,092","2,097,937","11,275,594","121,106","2,629,402","629,064","721,684","2,088,097","986,800","998,996","945,637","2,154,808","11,165,451","137,699","2,617,028","639,509","780,954","1,703,451","833,744","1,066,032","1,051,477","2,335,557","44,691,505","470,222","10,368,252","2,599,570","3,339,703","7,550,941","3,831,224","4,104,887","4,105,951","8,320,754"
,Inbound,,,"4,980,705","85,523","1,329,772","358,030","250,573","1,170,269","515,895","502,200","530,247","238,196","5,270,934","88,953","1,313,664","351,358","294,311","1,275,673","514,816","565,943","601,880","264,337","5,420,816","101,120","1,370,434","319,077","250,862","1,394,708","503,666","542,678","435,558","502,713","5,675,018","123,121","1,406,034","327,523","372,038","1,140,959","412,384","563,512","539,829","789,618","21,347,472","398,715","5,419,904","1,355,987","1,167,783","4,981,609","1,946,761","2,174,332","2,107,515","1,794,864"
,Breakbulk,,,"574,136",,"209,429","11,494","115,090","136,081","68,854","11,764",263,"21,162","547,261",,"216,055","8,700","112,136","163,786","23,443","17,860",245,"5,034","504,168",922,"171,129","6,304","110,602","152,238","29,076","18,481",232,"15,184","403,069","25,726","162,870","6,663","102,857","69,783","16,745","17,603",758,64,"2,028,634","26,648","759,483","33,160","440,686","521,888","138,118","65,708","1,499","41,443"
,Bulk,,,"984,302",,568,"107,647","62,982","480,292","19,898","40,106","158,895","113,914","1,013,518",,"1,109","87,211","99,456","504,801",515,"26,062","175,355","119,009","1,027,268",10,,"75,361","75,940","592,064","9,520","60,612","64,363","149,396","1,183,082",60,0,"95,700","201,747","531,568","24,410","40,721","150,290","138,586","4,208,170",70,"1,677","365,920","440,125","2,108,725","54,343","167,501","548,904","520,905"
,Containerized,,,"1,145,822","85,523","885,850","9,424","12,206","152,819",0,0,0,0,"1,079,649","88,953","845,189","9,529","12,504","123,476",0,0,0,0,"1,187,187","100,188","925,838","11,664","12,259","137,222",0,0,0,18,"1,195,674","97,335","950,285","11,139","14,263","122,653",0,0,0,0,"4,608,332","371,998","3,607,161","41,755","51,231","536,170",0,0,0,18
,Rolling,,,"2,276,445",,"233,926","229,465","60,295","401,077","427,144","450,330","371,089","103,121","2,630,505",,"251,311","245,917","70,215","483,610","490,859","522,021","426,279","140,294","2,702,193",,"273,468","225,749","52,061","513,184","465,070","463,585","370,963","338,115","2,893,193",,"292,879","214,021","53,172","416,955","371,228","505,189","388,781","650,969","10,502,336",0,"1,051,584","915,152","235,741","1,814,826","1,754,301","1,941,124","1,557,111","1,232,499"
,Outbound,,,"5,538,294","19,233","1,196,680","297,320","516,436","624,885","465,144","449,840","474,498","1,494,256","6,460,528","17,710","1,281,705","324,290","775,746","688,566","514,824","521,876","502,212","1,833,600","5,854,778","19,986","1,258,968","309,987","470,822","693,389","483,134","456,319","510,079","1,652,095","5,490,434","14,578","1,210,994","311,986","408,916","562,492","421,361","502,520","511,647","1,545,939","23,344,034","71,507","4,948,347","1,243,583","2,171,920","2,569,332","1,884,463","1,930,555","1,998,437","6,525,890"
,Breakbulk,,,"1,642,611",,"475,270","65,821","344,201","144,928","35,444","9,939",265,"566,743","1,650,626",,"521,707","58,187","295,443","149,139","13,442","16,322",314,"596,072","1,572,569","2,626","475,553","58,421","290,839","137,026","9,824","12,261",406,"585,613","1,375,622",228,"443,067","67,412","232,367","69,536","11,013","12,047","1,117","538,835","6,241,429","2,854","1,915,597","249,841","1,162,850","500,629","69,724","50,569","2,102","2,287,263"
,Bulk,,,"320,526",,500,"22,482","42,450",0,0,0,"7,824","247,270","814,540",,0,"23,815","343,248",0,0,500,"9,523","437,454","464,654",,,"26,190","64,702","1,051",0,0,"7,988","364,723","426,601",,"1,200","15,310","64,050","7,128","1,000",0,"15,403","322,510","2,026,320",0,"1,700","87,797","514,450","8,179","1,000",500,"40,737","1,371,956"
,Containerized,,,"748,344","19,233","506,520","13,956","59,631","101,264",0,0,0,"47,740","737,232","17,710","503,467","14,805","65,967","85,811",0,0,"4,673","44,800","779,323","17,360","531,335","17,553","58,196","93,927",0,0,"13,038","47,915","720,834","14,350","493,614","14,761","58,704","86,608",0,0,0,"52,798","2,985,733","68,653","2,034,935","61,075","242,498","367,609",0,0,"17,710","193,253"
,Rolling,,,"2,826,813",,"214,390","195,061","70,154","378,694","429,700","439,901","466,409","632,504","3,258,130",,"256,532","227,484","71,088","453,615","501,382","505,054","487,703","755,274","3,038,232",,"252,080","207,822","57,085","461,385","473,310","444,058","488,649","653,844","2,967,377",,"273,113","214,503","53,797","399,220","409,348","490,473","495,127","631,797","12,090,552",0,"996,115","844,870","252,123","1,692,914","1,813,739","1,879,486","1,937,887","2,673,418"
,Foreign,,,"3,343,700","1,220,203",0,0,"33,622","216,363","136,690",0,"497,414","1,239,408","3,828,597","1,372,223",0,0,"61,723","300,362","112,287",0,"721,493","1,260,508","3,616,415","1,378,160",0,0,"87,214","284,966","57,561",0,"736,435","1,072,079","3,511,891","1,337,586",0,0,"53,240","325,668","136,202",0,"719,007","940,188","14,300,602","5,308,171",0,0,"235,799","1,127,359","442,740",0,"2,674,350","4,512,183"
,Export,,,"582,838","263,677",0,0,0,"17,708",0,0,"46,923","254,530","544,265","291,926",0,0,0,"20,675",0,0,"67,163","164,500","416,849","264,829",0,0,0,"8,000",0,0,"47,670","96,350","490,228","260,374",0,0,0,"10,296",0,0,"58,458","161,100","2,034,180","1,080,806",0,0,0,"56,680",0,0,"220,214","676,480"
,Breakbulk,,,0,,,,,,,0,0,,"1,052",,,,,,,,"1,052",,404,404,,,,,,,0,,"81,843","81,843",,,,,,,0,,"83,299","82,247",0,0,0,0,0,0,"1,052",0
,Bulk,,,"319,161",,,,,"17,708",,,"46,923","254,530","251,287",,,,,"20,675",,,"66,111","164,500","152,020",,,,,"8,000",,,"47,670","96,350","229,854",0,,,,"10,296",,,"58,458","161,100","952,322",0,0,0,0,"56,680",0,0,"219,162","676,480"
,Containerized,,,"263,677","263,677",,,,,,0,0,,"291,926","291,926",,,,,,,0,,"264,425","264,425",,,,,,,0,,"178,531","178,531",,,,,,,0,,"998,559","998,559",0,0,0,0,0,0,0,0
,Rolling,,,0,,,,,,,0,0,,0,,,,,,,,0,,0,,,,,,,,0,,0,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
,Import,,,"2,760,862","956,526",0,0,"33,622","198,654","136,690",0,"450,491","984,878","3,284,332","1,080,297",0,0,"61,723","279,687","112,287",0,"654,330","1,096,008","3,199,566","1,113,330",0,0,"87,214","276,966","57,561",0,"688,765","975,729","3,021,663","1,077,212",0,0,"53,240","315,372","136,202",0,"660,549","779,088","12,266,422","4,227,365",0,0,"235,799","1,070,679","442,740",0,"2,454,136","3,835,703"
,Breakbulk,,,"171,763","77,467",,,0,"5,616",,,0,"88,680","139,544","93,942",,,0,,,,"2,026","43,576","103,295","103,295",,,,,,,0,,"135,673","133,037",,,,,,,"2,635",,"550,275","407,742",0,0,0,"5,616",0,0,"4,661","132,256"
,Bulk,,,"1,725,259","15,219",,,"33,622","193,038","136,690",,"450,491","896,198","2,170,034","11,600",,,"61,723","279,687","112,287",,"652,305","1,052,433","2,113,996","27,760",,,"87,214","276,966","57,561",,"688,765","975,729","1,963,215","21,400",,,"53,240","315,372","136,202",,"657,914","779,088","7,972,504","75,979",0,0,"235,799","1,065,063","442,740",0,"2,449,475","3,703,448"
,Containerized,,,"863,839","863,839",,,0,0,,,0,0,"974,754","974,754",,,0,,,,0,0,"982,275","982,275",,,,,,,0,,"922,775","922,775",,,,,,,0,,"3,743,644","3,743,644",0,0,0,0,0,0,0,0
,Rolling,,,0,,,,0,0,,,0,0,0,,,,0,,,,0,0,0,,,,,,,,0,,0,0,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container (TEU),,,,"244,477","108,977","105,417","1,803","6,791","15,860",0,0,196,"5,433","248,513","120,289","100,710","1,793","7,464","12,595",0,0,545,"5,118","264,631","125,339","108,019","2,073","7,008","15,158",0,0,"1,473","5,562","256,318","118,582","109,680","1,792","7,030","13,052",0,0,0,"6,182","1,013,938","473,186","423,825","7,460","28,293","56,665",0,0,"2,214","22,295"
,Domestic,,,"142,195","6,695","105,417","1,803","6,791","15,860",0,0,196,"5,433","134,528","6,304","100,710","1,793","7,464","12,595",0,0,545,"5,118","146,125","6,833","108,019","2,073","7,008","15,158",0,0,"1,473","5,562","144,469","6,733","109,680","1,792","7,030","13,052",0,0,0,"6,182","567,316","26,565","423,825","7,460","28,293","56,665",0,0,"2,214","22,295"
,Inbound,,,"74,570","5,833","52,751",992,"3,092","9,002",0,0,196,"2,705","70,265","5,083","50,166",947,"3,678","7,556",0,0,278,"2,558","76,988","5,773","54,884","1,070","3,580","8,129",0,0,728,"2,824","75,483","5,562","56,191",948,"3,661","7,070",0,0,0,"2,051","297,306","22,251","213,992","3,956","14,011","31,757",0,0,"1,202","10,138"
,Empties,,,"8,806",444,"2,131",453,"2,604",273,,,196,"2,705","8,570",,"1,869",402,"2,963",500,,,278,"2,558","9,147",48,"1,979",403,"2,879",287,,,728,"2,823","7,157",,"1,889",312,"2,845",60,,,,"2,051","33,680",492,"7,868","1,570","11,291","1,120",0,0,"1,202","10,137"
,Fulls,,,"65,764","5,389","50,620",539,488,"8,729",,,,,"61,695","5,083","48,297",545,715,"7,056",,,,,"67,841","5,725","52,905",667,701,"7,842",,,,1,"68,327","5,562","54,302",637,816,"7,010",,,,,"263,626","21,759","206,124","2,386","2,720","30,637",0,0,0,1
,Outbound,,,"67,625",862,"52,666",812,"3,699","6,858",0,0,0,"2,728","64,263","1,221","50,544",846,"3,786","5,039",0,0,267,"2,560","69,138","1,060","53,135","1,003","3,428","7,029",0,0,745,"2,738","68,986","1,171","53,489",844,"3,369","5,982",0,0,0,"4,131","270,011","4,314","209,834","3,504","14,282","24,908",0,0,"1,012","12,157"
,Empties,,,"25,625",115,"23,722",14,703,"1,071",,,,,"22,401",209,"21,774",,16,135,,,267,,"25,445",68,"22,773",,943,"1,661",,,,,"27,735",351,"25,283",,14,"1,033",,,,"1,054","101,205",743,"93,551",14,"1,676","3,900",0,0,267,"1,054"
,Fulls,,,"42,000",747,"28,944",798,"2,996","5,787",,,,"2,728","41,862","1,012","28,770",846,"3,770","4,904",,,,"2,560","43,693",992,"30,362","1,003","2,485","5,368",,,745,"2,738","41,251",820,"28,207",844,"3,355","4,949",,,,"3,077","168,806","3,571","116,283","3,490","12,606","21,008",0,0,745,"11,103"
,Foreign,,,"102,282","102,282",0,0,0,0,0,0,0,0,"113,985","113,985",0,0,0,0,0,0,0,0,"118,506","118,506",0,0,0,0,0,0,0,0,"111,849","111,849",0,0,0,0,0,0,0,0,"446,621","446,621",0,0,0,0,0,0,0,0
,Export,,,"52,888","52,888",0,0,0,0,0,0,0,0,"58,199","58,199",0,0,0,0,0,0,0,0,"62,360","62,360",0,0,0,0,0,0,0,0,"58,815","58,815",0,0,0,0,0,0,0,0,"232,262","232,262",0,0,0,0,0,0,0,0
,Empties,,,"37,821","37,821",,,,,,,,,"41,518","41,518",,,,,,,,,"47,250","47,250",,,,,,,,,"43,942","43,942",,,,,,,,,"170,530","170,530",0,0,0,0,0,0,0,0
,Fulls,,,"15,067","15,067",,,,,,,,,"16,682","16,682",,,,,,,,,"15,110","15,110",,,,,,,,,"14,873","14,873",,,,,,,,,"61,732","61,732",0,0,0,0,0,0,0,0
,Import,,,"49,394","49,394",0,0,0,0,0,0,0,0,"55,785","55,785",0,0,0,0,0,0,0,0,"56,146","56,146",0,0,0,0,0,0,0,0,"53,034","53,034",0,0,0,0,0,0,0,0,"214,360","214,360",0,0,0,0,0,0,0,0
,Empties,,,32,32,,,,,,,,,85,85,,,,,,,,,16,16,,,,,,,,,304,304,,,,,,,,,437,437,0,0,0,0,0,0,0,0
,Fulls,,,"49,362","49,362",,,,,,,,,"55,700","55,700",,,,,,,,,"56,130","56,130",,,,,,,,,"52,730","52,730",,,,,,,,,"213,923","213,923",0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolling Cargoes (No. of Units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic,,,"  219,960 ",  -   ,"  20,848 ","  22,060 ","  8,798 ","  17,963 ","  37,834 ","  39,018 ","  40,579 ","  32,860 ","  293,727 ",  -   ,"  27,159 ","  29,373 ","  10,306 ","  23,381 ","  54,246 ","  54,581 ","  52,259 ","  42,422 ","  234,673 ",  -   ,"  23,097 ","  24,013 ","  7,463 ","  23,919 ","  40,215 ","  41,001 ","  40,220 ","  34,745 ","  274,004 ",  -   ,"  27,007 ","  24,552 ","  8,100 ","  18,885 ","  35,495 ","  47,967 ","  47,555 ","  64,443 ","  1,022,364 ",  -   ,"  98,111 ","  99,998 ","  34,667 ","  84,148 ","  167,790 ","  182,567 ","  180,613 ","  174,470 "
,Inbound,,,"  98,074 ",  -   ,"  10,817 ","  11,353 ","  4,209 ","  10,132 ","  18,867 ","  19,600 ","  19,689 ","  3,407 ","  131,709 ",  -   ,"  13,372 ","  15,061 ","  5,500 ","  13,074 ","  26,946 ","  27,459 ","  25,017 ","  5,280 ","  105,838 ",  -   ,"  11,706 ","  12,272 ","  3,772 ","  13,737 ","  19,983 ","  20,582 ","  20,027 ","  3,759 ","  137,055 ",  -   ,"  13,391 ","  12,107 ","  4,002 ","  10,423 ","  17,314 ","  24,127 ","  22,982 ","  32,709 ","  472,676 ",  -   ,"  49,286 ","  50,793 ","  17,483 ","  47,366 ","  83,110 ","  91,768 ","  87,715 ","  45,155 "
,10W  26000-over,,,"  11,944 ",,"  2,238 ",  792 ,  580 ,"  4,845 ",  637 ,  525 ,"  2,066 ",  261 ,"  12,842 ",,"  2,214 ",  681 ,  541 ,"  5,751 ",  731 ,  428 ,"  2,079 ",  417 ,"  13,851 ",,"  2,723 ",  718 ,  501 ,"  6,092 ",  668 ,  563 ,"  2,031 ",  555 ,"  14,774 ",,"  2,933 ",  619 ,  495 ,"  5,163 ",  561 ,"  1,215 ","  1,863 ","  1,925 ","  53,411 ",  -   ,"  10,108 ","  2,810 ","  2,117 ","  21,851 ","  2,597 ","  2,731 ","  8,039 ","  3,158 "
,4W  1100-2300,,,"  21,904 ",,"  3,599 ","  3,726 ",  432 ,  1 ,"  5,229 ","  6,934 ","  1,936 ",  47 ,"  32,689 ",,"  2,620 ","  5,673 ",  523 ,  1 ,"  9,094 ","  12,095 ","  2,487 ",  196 ,"  20,883 ",,"  2,226 ","  3,957 ",  304 ,  6 ,"  4,913 ","  7,569 ","  1,828 ",  80 ,"  27,292 ",,"  3,438 ","  4,043 ",  287 ,  -   ,"  4,420 ","  7,069 ","  2,010 ","  6,025 ","  102,768 ",  -   ,"  11,883 ","  17,399 ","  1,546 ",  8 ,"  23,656 ","  33,667 ","  8,261 ","  6,348 "
,4W  2400-over,,,"  15,335 ",,  672 ,"  1,388 ",  626 ,"  3,473 ",  120 ,"  1,243 ","  6,705 ","  1,108 ","  25,094 ",,"  3,340 ","  2,245 ","  1,112 ","  4,610 ",  115 ,"  1,895 ","  9,608 ","  2,169 ","  18,848 ",,"  2,935 ","  1,810 ",  678 ,"  5,183 ",  100 ,  84 ,"  7,039 ","  1,019 ","  27,596 ",,"  2,253 ","  1,871 ",  814 ,"  3,541 ",  6 ,"  2,116 ","  8,075 ","  8,920 ","  86,873 ",  -   ,"  9,200 ","  7,314 ","  3,230 ","  16,807 ",  341 ,"  5,338 ","  31,427 ","  13,216 "
,6W  4800-7500,,,"  10,025 ",,  27 ,"  1,417 ",  339 ,  1 ,"  3,126 ","  3,924 ","  1,166 ",  25 ,"  10,835 ",,  33 ,"  1,430 ",  215 ,  3 ,"  3,615 ","  4,199 ","  1,327 ",  13 ,"  11,313 ",,  26 ,"  1,469 ",  174 ,  -   ,"  4,140 ","  4,234 ","  1,247 ",  23 ,"  12,959 ",,  13 ,"  1,232 ",  137 ,  2 ,"  3,175 ","  4,034 ","  1,590 ","  2,776 ","  45,132 ",  -   ,  99 ,"  5,548 ",  865 ,  6 ,"  14,056 ","  16,391 ","  5,330 ","  2,837 "
,6W  7600-15000,,,"  6,212 ",,  889 ,  659 ,  5 ,"  1,164 ",  232 ,  968 ,"  1,727 ",  568 ,"  7,190 ",,  875 ,  698 ,  2 ,"  1,672 ",  278 ,"  1,148 ","  1,836 ",  681 ,"  6,971 ",,  966 ,  781 ,  10 ,"  1,604 ",  157 ,  973 ,"  1,916 ",  564 ,"  9,481 ",,"  1,251 ",  694 ,  1 ,"  1,231 ",  27 ,"  1,453 ","  1,742 ","  3,082 ","  29,854 ",  -   ,"  3,981 ","  2,832 ",  18 ,"  5,671 ",  694 ,"  4,542 ","  7,221 ","  4,895 "
,8W-10W  20000-25000,,,"  13,053 ",,  452 ,"  1,341 ",  6 ,  191 ,"  5,387 ","  4,282 ",  374 ,"  1,020 ","  12,614 ",,  138 ,"  1,117 ",  8 ,  207 ,"  5,422 ","  4,236 ",  245 ,"  1,241 ","  13,116 ",,  157 ,"  1,111 ",  -   ,  204 ,"  5,705 ","  4,492 ",  209 ,"  1,238 ","  13,763 ",,  86 ,"  1,107 ",  5 ,  168 ,"  4,599 ","  3,965 ",  283 ,"  3,550 ","  52,546 ",  -   ,  833 ,"  4,676 ",  19 ,  770 ,"  21,113 ","  16,975 ","  1,111 ","  7,049 "
,Heavy Equipment,,,  261 ,,  13 ,  37 ,  3 ,  90 ,  17 ,  4 ,  53 ,  44 ,  127 ,,  3 ,  12 ,  -   ,  42 ,  16 ,  -   ,  43 ,  11 ,  188 ,,  7 ,  8 ,  7 ,  63 ,  8 ,  13 ,  31 ,  51 ,  192 ,,  4 ,  16 ,  9 ,  47 ,  4 ,  48 ,  40 ,  24 ,  768 ,  -   ,  27 ,  73 ,  19 ,  242 ,  45 ,  65 ,  167 ,  130 
,Motor Cycle/ Motor Bike,,,"  19,340 ",,"  2,927 ","  1,993 ","  2,218 ",  367 ,"  4,119 ","  1,720 ","  5,662 ",  334 ,"  30,318 ",,"  4,149 ","  3,205 ","  3,099 ",  788 ,"  7,675 ","  3,458 ","  7,392 ",  552 ,"  20,668 ",,"  2,666 ","  2,418 ","  2,098 ",  585 ,"  4,292 ","  2,654 ","  5,726 ",  229 ,"  30,998 ",,"  3,413 ","  2,525 ","  2,254 ",  271 ,"  4,522 ","  4,227 ","  7,379 ","  6,407 ","  101,324 ",  -   ,"  13,155 ","  10,141 ","  9,669 ","  2,011 ","  20,608 ","  12,059 ","  26,159 ","  7,522 "
,Outbound,,,"  121,886 ",  -   ,"  10,031 ","  10,707 ","  4,589 ","  7,831 ","  18,967 ","  19,418 ","  20,890 ","  29,453 ","  162,018 ",  -   ,"  13,787 ","  14,312 ","  4,806 ","  10,307 ","  27,300 ","  27,122 ","  27,242 ","  37,142 ","  128,835 ",  -   ,"  11,391 ","  11,741 ","  3,691 ","  10,182 ","  20,232 ","  20,419 ","  20,193 ","  30,986 ","  136,949 ",  -   ,"  13,616 ","  12,445 ","  4,098 ","  8,462 ","  18,181 ","  23,840 ","  24,573 ","  31,734 ","  549,688 ",  -   ,"  48,825 ","  49,205 ","  17,184 ","  36,782 ","  84,680 ","  90,799 ","  92,898 ","  129,315 "
,10W  26000-over,,,"  13,281 ",,"  2,102 ",  509 ,  591 ,"  5,151 ",  615 ,  512 ,"  2,325 ","  1,476 ","  13,887 ",,"  2,010 ",  578 ,  448 ,"  6,070 ",  712 ,  448 ,"  1,936 ","  1,685 ","  12,986 ",,"  2,253 ",  577 ,  514 ,"  6,299 ",  693 ,  559 ,  397 ,"  1,694 ","  12,801 ",,"  2,413 ",  595 ,  466 ,"  5,617 ",  623 ,"  1,261 ",  351 ,"  1,475 ","  52,955 ",  -   ,"  8,778 ","  2,259 ","  2,019 ","  23,137 ","  2,643 ","  2,780 ","  5,009 ","  6,330 "
,4W  1100-2300,,,"  27,835 ",,"  4,130 ","  3,962 ",  800 ,  -   ,"  5,294 ","  6,761 ","  1,653 ","  5,235 ","  39,785 ",,"  2,888 ","  5,818 ",  408 ,  1 ,"  9,276 ","  11,784 ","  2,655 ","  6,955 ","  26,612 ",,"  2,306 ","  4,104 ",  277 ,  2 ,"  4,877 ","  7,577 ","  1,813 ","  5,656 ","  29,291 ",,"  3,836 ","  4,268 ",  394 ,  -   ,"  4,401 ","  7,151 ","  2,219 ","  7,022 ","  123,523 ",  -   ,"  13,160 ","  18,152 ","  1,879 ",  3 ,"  23,848 ","  33,273 ","  8,340 ","  24,868 "
