CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,1st Quarter,,,,,,,,,TOTAL,2nd Quarter,,,,,,,,,TOTAL,3rd Quarter,,,,,,,,,TOTAL,4th Quarter,,,,,,,,,Grand Total,Grand Total,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipcall,,,,"36,453",139,"1,562","7,751","4,961","7,701","2,189","3,579","2,587","5,984","40,953",160,"1,610","7,960","5,535","8,838","2,659","4,852","2,657","6,682","36,531",181,"1,701","7,347","4,771","7,532","2,398","3,774","2,453","6,374","35,783",191,"1,792","7,912","5,156","6,124","2,138","3,635","2,434","6,401","149,720",671,"6,665","30,970","20,423","30,195","9,384","15,840","10,131","25,441"
,domestic ,,,"36,192",14,"1,560","7,751","4,944","7,674","2,182","3,579","2,554","5,934","40,669",13,"1,610","7,960","5,514","8,810","2,656","4,852","2,615","6,639","36,236",21,"1,701","7,347","4,753","7,503","2,396","3,774","2,411","6,330","35,489",32,"1,791","7,912","5,137","6,095","2,133","3,635","2,393","6,361","148,586",80,"6,662","30,970","20,348","30,082","9,367","15,840","9,973","25,264"
,foreign,,,261,125,2,,17,27,7,,33,50,284,147,,,21,28,3,,42,43,295,160,,,18,29,2,,42,44,294,159,1,,19,29,5,,41,40,"1,134",591,3,0,75,113,17,0,158,177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger,,,,"5,285,688",0,"563,875","1,584,826","1,421,791","246,496","338,604","514,633","343,286","272,177","7,051,544",0,"822,790","1,714,028","1,887,796","354,537","554,844","850,778","509,894","356,877","4,937,790",0,"493,961","1,501,563","1,318,526","248,686","316,930","473,670","350,041","234,413","5,713,054",0,"616,532","1,718,204","1,397,238","189,859","316,604","577,284","448,553","448,780","22,988,076",0,"2,497,158","6,518,621","6,025,351","1,039,578","1,526,982","2,416,365","1,651,774","1,312,247"
,disembarking,,,"2,713,600",0,"301,378","793,174","765,471","117,656","164,798","256,964","186,301","127,858","3,583,499",0,"417,696","872,405","1,009,236","169,189","270,135","423,587","257,089","164,162","2,552,693",,"254,644","790,598","713,892","118,014","156,186","235,869","174,880","108,610","2,905,700",,"304,986","885,861","751,509","91,236","156,481","285,662","217,073","212,892","11,755,492",0,"1,278,704","3,342,038","3,240,108","496,095","747,600","1,202,082","835,343","613,522"
,emmbarking,,,"2,572,088",0,"262,497","791,652","656,320","128,840","173,806","257,669","156,985","144,319","3,468,045",0,"405,094","841,623","878,560","185,348","284,709","427,191","252,805","192,715","2,385,097",,"239,317","710,965","604,634","130,672","160,744","237,801","175,161","125,803","2,807,354",,"311,546","832,343","645,729","98,623","160,123","291,622","231,480","235,888","11,232,584",0,"1,218,454","3,176,583","2,785,243","543,483","779,382","1,214,283","816,431","698,725"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
