Quarter,Passengers
2013-01-01,2124
2013-04-01,2377
2013-07-01,2109
2013-10-01,2142
2014-01-01,2015
2014-04-01,2317
2014-07-01,2094
2014-10-01,2080
2015-01-01,2122
2015-04-01,2317
2015-07-01,2089
2015-10-01,2245
2016-01-01,2448
2016-04-01,2666
2016-07-01,2469
2016-10-01,2482
2017-01-01,2416
2017-04-01,2730
2017-07-01,2794
2017-10-01,2628
2018-01-01,2539
2018-04-01,2955
2018-07-01,2692
2018-10-01,2678
2019-01-01,3947
2019-04-01,4054
2019-07-01,3742
2019-10-01,4029
2020-01-01,5029
2020-04-01,181
2020-07-01,477
2020-10-01,772
2021-01-01,950
2021-04-01,927
2021-07-01,638
2021-10-01,1092
2022-01-01,1397
2022-04-01,1811
2022-07-01,2114
2022-10-01,2222
2023-01-01,2568
2023-04-01,2749
2023-07-01,2582
2023-10-01,2831
