CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,1st Quarter,,,,,,,,,TOTAL,2nd Quarter,,,,,,,,,TOTAL,3rd Quarter,,,,,,,,,TOTAL,4th Quarter,,,,,,,,,Grand Total,Grand Total,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,Bulk,,,"1,173,546","17,407","1,753","127,989","179,428","507,903","25,022","60,729","164,507","88,808","679,661",,0,"141,024","28,422","215,775","38,365","62,935","129,885","63,255","814,208",,"1,200","120,862","47,104","254,867","13,486","93,406","119,422","163,861","1,012,961",79,"1,000","116,611","101,858","372,285","11,380","96,062","134,255","179,431","3,680,376","17,486","3,953","506,486","356,812","1,350,830","88,253","313,132","548,069","495,355"
,Containerized,,,"1,030,637","29,715","847,508","12,740","19,574","121,100",0,0,0,0,"353,043","47,339","172,541","7,998","22,068","103,097",0,0,0,0,"1,071,711","101,570","618,232","9,214","207,323","132,904","2,468",0,0,0,"1,012,018","95,095","785,348","6,694","18,568","106,313",0,0,0,0,"3,467,409","273,719","2,423,629","36,646","267,533","463,414","2,468",0,0,0
,Rolling,,,"3,009,889",,"227,996","206,271","57,554","464,833","284,820","628,398","333,189","806,828","1,853,025",,"33,316","40,383","20,073","396,941","194,199","336,687","468,264","363,162","2,769,591",,"119,756","38,138","68,630","586,895","365,412","452,349","660,922","477,489","2,926,935",,"135,141","42,501","50,618","564,386","411,975","585,944","668,463","467,907","10,559,440",0,"516,209","327,293","196,875","2,013,055","1,256,406","2,003,378","2,130,838","2,115,386"
,Outbound,,,"5,678,950","16,874","1,182,177","300,175","377,069","715,913","379,941","633,256","462,606","1,610,939","3,407,172","11,160","233,754","113,397","289,732","465,498","242,430","343,614","633,668","1,073,919","5,624,033","30,815","940,322","119,000","594,742","674,484","473,060","459,739","832,043","1,499,828","5,394,510","18,432","1,043,223","118,936","390,264","664,252","493,010","590,539","834,329","1,241,525","20,104,665","77,281","3,399,476","651,508","1,651,807","2,520,147","1,588,441","2,027,148","2,762,646","5,426,211"
,Breakbulk,,,"1,546,923","7,511","469,431","54,112","219,074","170,890","17,099","14,386","1,176","593,244","934,825","1,850","92,823","41,456","188,182","27,955","11,704",65,882,"569,908","1,510,900","7,595","373,761","45,352","317,659","63,104","22,067","1,215",741,"679,406","1,296,425","5,114","371,949","52,688","255,252","42,748","20,417","9,332",740,"538,185","5,289,073","22,070","1,307,964","193,608","980,167","304,697","71,287","24,998","3,539","2,380,743"
,Bulk,,,"476,898",,,"29,603","37,803","17,550","1,700",0,"2,425","387,817","292,711",,0,"21,925","15,382","4,450","3,300","1,336","12,742","233,576","522,784","5,684","1,120","25,938","3,809","4,499",0,"1,905","9,999","469,830","417,261",,0,"11,566","3,237","12,638",0,0,"22,079","367,741","1,709,654","5,684","1,120","89,032","60,231","39,137","5,000","3,241","47,245","1,458,964"
,Containerized,,,"730,620","9,363","502,426","17,229","58,599","82,959",0,0,"6,493","53,551","307,494","9,310","102,034","11,489","54,040","79,188",0,0,"16,713","34,720","802,730","17,536","417,035","14,115","182,998","95,410",0,0,"24,851","50,785","706,788","13,318","488,902","13,580","55,362","84,211",0,0,"12,635","38,780","2,547,632","49,527","1,510,397","56,413","350,999","341,768",0,0,"60,692","177,836"
,Rolling,,,"2,924,509",,"210,320","199,231","61,593","444,514","361,142","618,870","452,512","576,327","1,872,142",,"38,897","38,527","32,128","353,905","227,426","342,213","603,331","235,715","2,787,619",,"148,406","33,595","90,276","511,471","450,993","456,619","796,452","299,807","2,974,036",,"182,372","41,102","76,413","524,655","472,593","581,207","798,875","296,819","10,558,306",0,"579,995","312,455","260,410","1,834,545","1,512,154","1,998,909","2,651,170","1,408,668"
,Foreign,,,"3,444,676","1,271,309",0,0,"83,520","340,047","90,621",0,"642,589","1,016,590","2,767,915","1,289,829",0,0,"43,883","233,441","1,025",0,"536,037","663,700","3,854,666","1,491,861",0,0,"43,003","378,936","100,739",0,"716,050","1,124,077","3,941,440","1,458,419",0,0,"30,359","329,451","75,027",0,"1,011,472","1,036,712","14,008,697","5,511,418",0,0,"200,765","1,281,875","267,412",0,"2,906,148","3,841,079"
,Export,,,"589,490","284,620",0,0,0,"8,000",0,0,"64,970","231,900","343,110","182,954",0,0,0,0,0,0,"48,156","112,000","563,444","303,139",0,0,0,"12,812",0,0,"53,293","194,200","781,722","283,676",0,0,0,0,0,0,"444,046","54,000","2,277,766","1,054,389",0,0,0,"20,812",0,0,"610,465","592,100"
