CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 4TH QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,OCTOBER,,,,,,,,,TOTAL,NOVEMBER,,,,,,,,,TOTAL,DECEMBER,,,,,,,,,TOTAL,4TH QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,Breakbulk,,,"301,939","3,681","64,465","16,203","49,215","19,648","8,187",517,"1,480","138,542","321,103","6,176","64,782","  15,604 ","51,173","24,103","1,725",,0,"157,540","296,224","5,506","60,248","16,358","45,492","27,842","1,795","1,266",0,"137,716","919,266","15,363","189,495","48,165","145,881","71,594","11,708","1,783","1,480","433,798"
,Bulk,,,"86,285",,0,"5,000","22,302",400,,,"5,400","53,183","129,332",,0,"  5,589 ","15,027",733,,,"2,792","105,191","86,095",,0,"2,354","13,215","1,400",,,"7,145","61,980","301,712",0,0,"12,944","50,544","2,533",0,0,"15,337","220,354"
,Containerized,,,"217,455","9,048","136,028","5,556","25,646","31,308",,,0,"9,870","238,245","9,275","152,136","  4,970 ","38,106","25,428",,,0,"8,330","224,394","13,423","126,910","5,189","42,735","26,285",,,0,"9,853","680,094","31,745","415,074","15,715","106,488","83,020",0,0,0,"28,053"
,Rolling,,,"1,426,077",,"92,303","87,733","54,834","160,715","175,465","289,882","310,210","254,936","1,450,425",,"105,879","  90,439 ","53,201","148,134","205,446","279,433","316,611","251,282","1,481,667",,"105,072","101,392","61,191","140,136","183,766","283,795","318,881","287,433","4,358,168",0,"303,254","279,565","169,226","448,985","564,678","853,110","945,702","793,651"
,Foreign,,,"1,046,070","405,922",0,0,"25,589","126,644","2,460",0,"213,572","271,884","1,182,610","434,058",0,0,"14,066","95,093","51,960",0,"214,578","372,854","1,066,437","412,916",0,0,"14,517","121,437","59,218",0,"267,516","190,832","3,295,117","1,252,896",0,0,"54,171","343,174","113,638",0,"695,667","835,570"
,Export,,,"112,785","72,052",0,0,0,0,0,0,"10,733","30,000","139,874","79,664",0,0,0,0,0,0,"10,209","50,000","126,999","76,755",0,0,0,0,0,0,"21,244","29,000","379,657","228,471",0,0,0,0,0,0,"42,186","109,000"
,Breakbulk,,,737,,,,,,,,737,,709,,,,,,,,709,,284,,,,,,,,284,,"1,731",0,0,0,0,0,0,0,"1,731",0
,Bulk,,,"39,996",,,,,,,,"9,996","30,000","59,500",,,,,,,,"9,500","50,000","49,960",,,,,,,,"20,960","29,000","149,455",0,0,0,0,0,0,0,"40,455","109,000"
,Containerized,,,"72,052","72,052",,,,,,,0,,"79,664","79,664",,,,,,,,,"76,755","76,755",,,,,,,0,,"228,471","228,471",0,0,0,0,0,0,0,0
,Rolling,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
,Import,,,"933,285","333,870",0,0,"25,589","126,644","2,460",0,"202,839","241,884","1,042,736","354,394",0,0,"14,066","95,093","51,960",0,"204,369","322,854","939,438","336,161",0,0,"14,517","121,437","59,218",0,"246,272","161,832","2,915,460","1,024,425",0,0,"54,171","343,174","113,638",0,"653,481","726,570"
,Breakbulk,,,"58,535","42,057",,,,,,,"16,478",,"69,206","49,862",,,,,,,"19,344",,"34,301","16,679",,,,,,,17622.435,,"162,043","108,598",0,0,0,0,0,0,"53,445",0
