CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,1ST QTR,,,,2ND QTR,,,,3RD QTR,,,,4TH QTR,,,,GRAND TOTAL 2018
,,,,Total 1st Qtr,January,February,March,Total 2nd Qtr,April,May,June,Total 3RD Qtr,July,August,September,Total 4TH Qtr,October,November,December,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Outbound,,,"63,631","20,455","20,748","22,428","73,645","23,974","24,820","24,852","69,360","23,775","23,212","22,373","68,630","26,766","21,950","19,914","275,265"
,Fulls,,,"39,949","12,628","13,393","13,928","44,557","14,642","14,780","15,135","43,949","14,854","14,404","14,691","42,343","15,657","14,448","12,238","170,796"
,Empties,,,"23,683","7,827","7,356","8,500","29,088","9,332","10,040","9,717","25,412","8,921","8,808","7,683","26,287","11,109","7,502","7,676","104,469"
,Foreign,,,"85,521","28,754","28,388","28,379","87,312","25,611","32,491","29,210","104,306","34,197","34,524","35,585","108,786","40,350","34,964","33,473","385,925"
,Export,,,"39,913","12,448","13,306","14,160","39,592","11,275","14,816","13,501","52,677","17,654","16,818","18,205","55,659","21,513","17,580","16,566","187,841"
,Fulls,,,"16,103","4,775","4,916","6,412","14,734","4,662","5,565","4,508","15,962","4,869","5,851","5,242","15,479","4,753","5,007","5,720","62,279"
,Empties,,,"23,810","7,673","8,390","7,748","24,858","6,613","9,251","8,993","36,715","12,785","10,967","12,963","40,180","16,760","12,573","10,847","125,562"
,Import,,,"45,608","16,306","15,083","14,219","47,720","14,336","17,675","15,709","51,630","16,543","17,707","17,380","53,127","18,837","17,384","16,907","198,085"
,Fulls,,,"45,398","16,285","15,004","14,109","47,646","14,327","17,616","15,703","51,588","16,528","17,693","17,367","53,069","18,779","17,384","16,907","197,701"
,Empties,,,210,21,79,110,74,9,59,6,42,15,14,13,58,58,0,0,384
,,,,,,,,,,,,,,,,,,,,
Rolling Cargoes (No. of Units),,,,,,,,,,,,,,,,,,,,
,Domestic,,,"  187,430 ","  66,256 ","  51,105 ","  70,069 ","  258,828 ","  87,271 ","  94,716 ","  76,841 ","  198,646 ","  63,946 ","  73,143 ","  61,557 ","  219,570 ","  72,248 ","  71,363 ","  75,959 ","864,474"
,Inbound,,,"  87,887 ","  31,656 ","  25,152 ","  31,079 ","  115,044 ","  38,939 ","  42,337 ","  33,768 ","  85,424 ","  26,315 ","  31,894 ","  27,215 ","  95,645 ","  31,959 ","  31,692 ","  31,994 ","384,000"
,     Motor Cycle/ Motor Bike,,,"  15,059 ","  6,415 ","  3,644 ","  5,000 ","  21,940 ","  7,822 ","  8,735 ","  5,383 ","  14,665 ","  4,045 ","  5,821 ","  4,799 ","  18,732 ","  5,515 ","  6,718 ","  6,499 ","70,396"
,     4W  1100-2300,,,"  18,233 ","  6,275 ","  4,982 ","  6,976 ","  29,188 ","  9,992 ","  11,133 ","  8,063 ","  19,441 ","  6,239 ","  7,124 ","  6,078 ","  23,687 ","  7,599 ","  7,680 ","  8,408 ","90,549"
,     4W  2400-over,,,"  18,185 ","  6,840 ","  4,959 ","  6,386 ","  23,594 ","  8,098 ","  8,716 ","  6,780 ","  13,900 ","  4,041 ","  5,690 ","  4,169 ","  14,933 ","  5,355 ","  4,912 ","  4,666 ","70,612"
,     6W  4800-7500,,,"  5,454 ","  1,801 ","  1,676 ","  1,977 ","  7,197 ","  2,309 ","  2,589 ","  2,299 ","  8,040 ","  2,087 ","  2,855 ","  3,098 ","  10,157 ","  3,477 ","  3,263 ","  3,417 ","30,848"
,     6W  7600-15000,,,"  9,160 ","  3,162 ","  2,836 ","  3,162 ","  9,463 ","  2,966 ","  3,242 ","  3,255 ","  6,676 ","  2,549 ","  2,409 ","  1,718 ","  4,941 ","  1,755 ","  1,583 ","  1,603 ","30,240"
,     8W-10W  20000-25000,,,"  10,648 ","  3,529 ","  3,513 ","  3,606 ","  11,773 ","  3,825 ","  3,978 ","  3,970 ","  11,023 ","  3,748 ","  3,585 ","  3,690 ","  11,156 ","  3,908 ","  3,666 ","  3,582 ","44,600"
,     10W  26000-over,,,"  10,998 ","  3,607 ","  3,493 ","  3,898 ","  11,671 ","  3,879 ","  3,886 ","  3,906 ","  11,472 ","  3,526 ","  4,328 ","  3,618 ","  11,786 ","  4,280 ","  3,783 ","  3,723 ","45,927"
,     Heavy Equipment,,,  150 ,  27 ,  49 ,  74 ,  218 ,  48 ,  58 ,  112 ,  207 ,  80 ,  82 ,  45 ,  253 ,  70 ,  87 ,  96 ,828
,Outbound,,,"  99,543 ","  34,600 ","  25,953 ","  38,990 ","  143,784 ","  48,332 ","  52,379 ","  43,073 ","  113,222 ","  37,631 ","  41,249 ","  34,342 ","  123,925 ","  40,289 ","  39,671 ","  43,965 ","480,474"
,     Motor Cycle/ Motor Bike,,,"  16,899 ","  5,688 ","  4,309 ","  6,902 ","  25,282 ","  8,865 ","  9,850 ","  6,567 ","  18,422 ","  5,567 ","  7,292 ","  5,563 ","  23,212 ","  6,975 ","  7,246 ","  8,991 ","83,815"
,     4W  1100-2300,,,"  22,542 ","  7,671 ","  5,525 ","  9,346 ","  36,785 ","  12,621 ","  13,792 ","  10,372 ","  26,392 ","  8,584 ","  9,775 ","  8,033 ","  31,453 ","  9,822 ","  9,863 ","  11,768 ","117,172"
,     4W  2400-over,,,"  22,132 ","  7,533 ","  5,877 ","  8,722 ","  32,394 ","  11,099 ","  12,124 ","  9,171 ","  21,627 ","  7,595 ","  8,210 ","  5,822 ","  21,905 ","  6,697 ","  7,170 ","  8,038 ","98,058"
,     6W  4800-7500,,,"  6,306 ","  2,080 ","  1,765 ","  2,461 ","  8,738 ","  2,831 ","  2,992 ","  2,915 ","  9,692 ","  2,832 ","  3,283 ","  3,577 ","  11,397 ","  3,877 ","  3,782 ","  3,738 ","36,133"
,     6W  7600-15000,,,"  9,419 ","  3,653 ","  2,287 ","  3,479 ","  12,507 ","  3,907 ","  4,349 ","  4,251 ","  10,024 ","  3,845 ","  3,285 ","  2,894 ","  8,407 ","  2,974 ","  2,723 ","  2,710 ","40,357"
,     8W-10W  20000-25000,,,"  11,486 ","  4,189 ","  2,897 ","  4,400 ","  16,713 ","  5,679 ","  5,042 ","  5,992 ","  14,869 ","  5,094 ","  5,001 ","  4,774 ","  14,748 ","  5,401 ","  4,696 ","  4,651 ","57,816"
,     10W  26000-over,,,"  10,582 ","  3,718 ","  3,238 ","  3,626 ","  11,124 ","  3,224 ","  4,148 ","  3,752 ","  11,932 ","  4,003 ","  4,306 ","  3,623 ","  12,673 ","  4,474 ","  4,158 ","  4,041 ","46,311"
,     Heavy Equipment,,,  177 ,  68 ,  55 ,  54 ,  241 ,  106 ,  82 ,  53 ,  264 ,  111 ,  97 ,  56 ,  130 ,  69 ,  33 ,  28 ,812
