CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 1ST QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,JANUARY 2022,,,,,,,,,TOTAL,FEBRUARY 2022,,,,,,,,,TOTAL,MARCH 2022,,,,,,,,,TOTAL,1st QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,Breakbulk,,,"342,613","1,888","55,243","10,930","82,541","31,410","9,219","17,008",0,"134,374","387,069","3,415","67,376","12,081","70,172","23,918","8,383","13,367","11,118","177,239","392,915","6,982","78,735","11,506","79,408","20,424","7,867","9,462","5,315","173,214","1,122,596","12,286","201,355","34,516","232,121","75,752","25,469","39,837","16,433","484,827"
,Bulk,,,"189,004",,900,"2,500","12,997",10,472,,"14,794","157,330","124,577",,619,"4,017","8,249",750,0,,"2,000","108,942","163,365",,"1,580","10,057","9,868","1,320",,,"2,000","138,540","476,946",0,"3,099","16,574","31,115","2,080",472,0,"18,794","404,812"
,Containerized,,,"176,208","2,975","119,919","4,174","19,521","23,074",0,,0,"6,545","203,858","1,750","137,489","6,528","16,529","29,575",0,,,"11,988","231,131","4,288","157,185","4,996","23,188","31,955",,,,"9,520","611,196","9,013","414,593","15,698","59,238","84,604",0,0,0,"28,053"
,Rolling,,,"1,259,039",,"139,714","44,504","37,080","123,124","198,612","289,160","208,616","218,231","1,364,011",,"140,247","43,766","30,877","152,937","210,191","283,064","250,317","252,611","1,539,263",,"158,175","39,879","53,769","145,454","226,986","306,986","316,754","291,260","4,162,313",0,"438,136","128,149","121,726","421,514","635,789","879,210","775,687","762,102"
,Foreign,,,"1,066,763","478,724",0,0,"19,978","125,492","2,708",0,"241,186","198,675","1,108,028","375,915",203,0,"24,829","125,718","57,504",0,"177,333","346,525","1,171,898","487,439",0,0,"17,264","139,379",0,0,"220,072","307,744","3,346,689","1,342,079",203,0,"62,071","390,589","60,212",0,"638,591","852,944"
,Export,,,"160,306","62,615",0,0,0,"7,800",0,0,"36,891","53,000","135,886","80,045",0,0,0,0,0,0,"16,841","39,000","135,467","112,823",0,0,0,0,0,0,"5,644","17,000","431,660","255,483",0,0,0,"7,800",0,0,"59,377","109,000"
,Breakbulk,,,0,,,,,,,,0,,767,,,,,,,,767,,404,,,,,,,,404,,"1,171",0,0,0,0,0,0,0,"1,171",0
,Bulk,,,"97,691",,,,,"7,800",,,"36,891","53,000","55,075",,,,,,,,"16,075","39,000","22,240",,,,,,,,"5,240","17,000","175,006",0,0,0,0,"7,800",0,0,"58,206","109,000"
,Containerized,,,"62,615","62,615",,,,,,,0,,"80,045","80,045",,,,,,,,,"112,823","112,823",,,,,,,,,"255,483","255,483",0,0,0,0,0,0,0,0
,Rolling,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
,Import,,,"906,457","416,109",0,0,"19,978","117,692","2,708",0,"204,295","145,675","972,141","295,870",203,0,"24,829","125,718","57,504",0,"160,492","307,525","1,036,431","374,617",0,0,"17,264","139,379",0,0,"214,428","290,744","2,915,030","1,086,596",203,0,"62,071","382,789","60,212",0,"579,214","743,944"
,Breakbulk,,,"51,969","51,969",,,,,,,0,,"55,231","45,760",203,,,,,,"9,268",,"97,341","83,285",,,,,,,"14,055",,"204,542","181,015",203,0,0,0,0,0,"23,323",0
,Bulk,,,"490,348",,,,"19,978","117,692",2708,,"204,295","145,675","666,800",,,,"24,829","125,718",57504,,"151,224","307,525","647,759",,,,"17,264","139,379",,,"200,372","290,744","1,804,907",0,0,0,"62,071","382,789","60,212",0,"555,891","743,944"
,Containerized,,,"364,140","364,140",,,,,,,0,,"250,110","250,110",,,,,,,,,"291,331","291,331",,,,,,,,,"905,581","905,581",0,0,0,0,0,0,0,0
,Rolling,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container (TEU),,,,"72,016","39,353","21,474",531,"6,848","3,064",0,0,0,748,"70,354","32,624","23,621",796,"7,221","4,686",0,0,0,"1,407","87,313","43,964","28,528",537,"8,121","4,986",0,0,0,"1,178","229,683","115,941","73,622","1,863","22,189","12,736",0,0,0,"3,333"
,Domestic,,,"34,226","1,563","21,474",531,"6,848","3,064",0,0,0,748,"38,556",826,"23,621",796,"7,221","4,686",0,0,0,"1,407","45,813","2,464","28,528",537,"8,121","4,986",0,0,0,"1,178","118,595","4,853","73,622","1,863","22,189","12,736",0,0,0,"3,333"
,Inbound,,,"18,796",857,"11,780",292,"3,748","1,745",0,0,0,374,"21,294",588,"12,715",423,"3,530","2,631",0,0,0,"1,407","24,869","1,493","15,579",251,"3,999","2,914",0,0,0,634,"64,958","2,938","40,074",966,"11,276","7,290",0,0,0,"2,415"
,Empties,,,"1,447",,361,98,614,,,,,374,"1,615",,288,234,371,1,,,,722,"1,902",4,506,170,589,,0,0,0,634,"4,964",4,"1,154",501,"1,574",1,0,0,0,"1,730"
,Fulls,,,"17,349",857,"11,419",194,"3,134","1,745",,,,,"19,679",588,"12,428",190,"3,159","2,630",,,,685,"22,967",1489,"15,073",82,"3,410","2,914",0,0,0,,"59,994","2,934","38,920",465,"9,702","7,289",0,0,0,685
,Outbound,,,"15,431",706,"9,694",239,"3,100","1,319",0,0,0,374,"17,263",238,"10,906",373,"3,691","2,055",0,0,0,0,"20,944",971,"12,949",286,"4,123","2,072",0,0,0,544,"53,637","1,915","33,548",897,"10,914","5,446",0,0,0,918
,Empties,,,"5,362",536,"2,841",0,"1,985",,,,,,"6,299",138,"3,049",0,"2,747",365,0,,,,"7,757",726,"3,967",0,"2,818",246,0,0,,,"19,417","1,400","9,857",0,"7,549",611,0,0,0,0
,Fulls,,,"10,069",170,"6,853",239,"1,116","1,319",,,,374,"10,964",100,"7,857",373,945,"1,690",,,,,"13,188",245,"8,982",286,"1,305","1,826",0,0,,544,"34,221",515,"23,691",897,"3,365","4,835",0,0,0,918
,Foreign,,,"37,790","37,790",0,0,0,0,0,0,0,0,"31,798","31,798",0,0,0,0,0,0,0,0,"41,500","41,500",0,0,0,0,0,0,0,0,"111,088","111,088",0,0,0,0,0,0,0,0
,Export,,,"16,981","16,981",0,0,0,0,0,0,0,0,"17,490","17,490",0,0,0,0,,0,0,0,"24,810","24,810",0,0,0,0,,0,0,0,"59,281","59,281",0,0,0,0,0,0,0,0
,Empties,,,"13,403","13,403",,,,,,,,,"12,916","12,916",,,,,,,,,"18,363","18,363",,,,,,0,,,"44,682","44,682",0,0,0,0,0,0,0,0
,Fulls,,,"3,578","3,578",,,,,,,,,"4,574","4,574",,,,,,,,,"6,447","6,447",,,,,,0,,,"14,599","14,599",0,0,0,0,0,0,0,0
,Import,,,"20,809","20,809",0,0,0,0,0,0,0,0,"14,308","14,308",0,0,0,0,0,0,0,0,"16,690","16,690",0,0,0,0,0,0,0,0,"51,807","51,807",0,0,0,0,0,0,0,0
,Empties,,,1,1,,,,,,,,,16,16,,,,,,,,,42,42,,,,,,,,,59,59,0,0,0,0,0,0,0,0
,Fulls,,,"20,808","20,808",,,,,,,,,"14,292","14,292",,,,,,,,,"16,648","16,648",,,,,,,,,"51,748","51,748",0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolling Cargoes (No. of Units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic,,,"  117,273 ",  -   ,"  13,121 ","  4,829 ","  3,555 ","  5,224 ","  18,880 ","  28,053 ","  17,142 ","  26,469 ","  120,520 ",  -   ,"  12,304 ","  3,923 ","  2,615 ","  7,601 ","  20,138 ","  26,767 ","  18,501 ","  28,671 ","  133,039 ",  -   ,"  13,422 ","  3,513 ","  3,451 ","  7,407 ","  21,961 ","  27,460 ","  24,288 ","  31,537 ","  370,832 ",  -   ,"  38,847 ","  12,265 ","  9,621 ","  20,232 ","  60,979 ","  82,280 ","  59,931 ","  86,677 "
,Inbound,,,"  60,833 ",  -   ,"  7,287 ","  2,554 ","  1,623 ","  2,561 ","  9,361 ","  14,221 ","  9,489 ","  13,737 ","  60,045 ",  -   ,"  6,140 ","  1,952 ","  1,066 ","  3,895 ","  10,126 ","  13,496 ","  9,366 ","  14,004 ","  66,049 ",  -   ,"  6,733 ","  1,686 ","  1,511 ","  3,629 ","  11,033 ","  13,749 ","  12,220 ","  15,488 ","  186,927 ",  -   ,"  20,160 ","  6,192 ","  4,200 ","  10,085 ","  30,520 ","  41,466 ","  31,075 ","  43,229 "
,10W  26000-over,,,"  7,312 ",,"  1,491 ",  350 ,  263 ,1573,  255 ,"  2,260 ",  359 ,  761 ,"  7,465 ",,"  1,277 ",  293 ,  303 ,1895,  219 ,"  2,107 ",  526 ,  845 ,"  8,103 ",  -   ,"  1,369 ",  224 ,  630 ,1830,  237 ,"  2,192 ",  650 ,  971 ,"  22,880 ",0,"4,137",867,"1,196","5,298",711,"6,559","1,535","2,577"
