Quarter,Passengers
2013-01-01,1936814.402
2013-04-01,2571623.031
2013-07-01,1796143
2013-10-01,1903367.43
2014-01-01,1848924.521
2014-04-01,2454926.438
2014-07-01,1714636.717
2014-10-01,1816995.325
2015-01-01,2063575.555
2015-04-01,2739931.311
2015-07-01,1913697.598
2015-10-01,2027939.536
2016-01-01,2289914.328
2016-04-01,3040454.686
2016-07-01,2123597.335
2016-10-01,2250369.65
2017-01-01,2374085.115
2017-04-01,3152213.218
2017-07-01,2201654.779
2017-10-01,2333086.887
2018-01-01,1358400.277
2018-04-01,1803628.388
2018-07-01,1259739.359
2018-10-01,1334941.975
2019-01-01,1421791
2019-04-01,1887796
2019-07-01,1318526
2019-10-01,1397238
2020-01-01,1102374
2020-04-01,14320
2020-07-01,32421
2020-10-01,44268
2021-01-01,84602
2021-04-01,147422
2021-07-01,85311
2021-10-01,229749
2022-01-01,403056
2022-04-01,827772
2022-07-01,827327
2022-10-01,763935
2023-01-01,816546
2023-04-01,952970
2023-07-01,1019030
