Quarter,Passengers
2020-04-01,89134
2020-07-01,438753
2020-10-01,662316
2021-01-01,932986
2021-04-01,1523607
2021-07-01,927407
2021-10-01,1616237
2022-01-01,2752617
2022-04-01,4319662
2022-07-01,4003077
2022-10-01,3844672
2023-01-01,4075349
2023-04-01,4919662
2023-07-01,4935342
