CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 2ND QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,APRIL 2023,,,,,,,,,TOTAL,MAY 2023,,,,,,,,,TOTAL,JUNE 2023,,,,,,,,,TOTAL,2ND QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,     Breakbulk,,,"332,111","5,782","67,154","16,848","45,775","20,481",90,931,"35,614","139,437","348,103","2,763","87,717","12,980","45,144","26,608","3,153",500,"24,543","144,694","362,869","3,230","81,052","18,341","42,086","24,584","1,603","1,347","26,644","163,981","1,043,082","11,775","235,923","48,169","133,006","71,673","4,846","2,778","86,800","448,111"
,     Bulk,,,"113,005",,0,"8,544","15,058","2,482",,,0,"86,921","103,002",,"1,000","2,383","12,992",,,,"1,585","85,042","80,739",,-,"4,161","18,162",,,,"1,632","56,784","296,746",0,"1,000","15,088","46,212","2,482",0,0,"3,217","228,747"
,     Containerized,,,"183,050","5,705","114,144","3,885","30,179","21,158",,,0,"7,980","227,010","13,720","140,578","4,988","32,445","26,338",,,0,"8,943","206,727","6,318","119,814","5,180","41,956","26,530",,,-,"6,930","616,787","25,743","374,535","14,053","104,580","74,025",0,0,0,"23,853"
,     Rolling,,,"1,563,496",,"103,322","116,602","55,267","153,100","221,954","343,408","309,531","260,313","1,369,924",,"124,312","118,152","65,301","166,914","213,535","80,481","313,816","287,414","1,570,702",,"138,009","121,165","65,072","172,979","164,469","307,445","317,971","283,593","4,504,122",0,"365,642","355,919","185,640","492,993","599,958","731,333","941,317","831,320"
,Foreign,,,"1,068,361","486,829","13,600",0,"7,500","140,193","2,486",0,"280,786","136,967","1,245,676","412,764",0,0,"14,768","55,136","54,870",0,"308,703","399,436","1,160,096","396,162",0,0,"7,000","96,222",0,0,"338,641","322,071","3,474,134","1,295,755","13,600",0,"29,268","291,552","57,356",0,"928,130","858,473"
,   Export,,,"116,637","90,882",0,0,0,0,0,0,"25,755",0,"99,135","87,469",0,0,0,0,0,0,"11,666",0,"145,176","73,133",0,0,0,"6,500",0,0,"22,444","43,100","360,948","251,484",0,0,0,"6,500",0,0,"59,864","43,100"
,     Breakbulk,,,"13,749",,,,,,,,"13,749",,676,,,,,,,,676,,347,,,,,,,,347,,"14,772",0,0,0,0,0,0,0,"14,772",0
,     Bulk,,,"12,006",,,,,,,,"12,006",,"10,990",,,,,,,,"10,990",,"71,697",,,,,"6,500",,,"22,097","43,100","94,693",0,0,0,0,"6,500",0,0,"45,093","43,100"
,     Containerized,,,"90,882","90,882",,,,,,,0,,"87,469","87,469",,,,,,,0,,"73,133","73,133",,,,,,,-,,"251,484","251,484",0,0,0,0,0,0,0,0
,     Rolling,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,-,,0,0,0,0,0,0,0,0,0,0
,  Import,,,"951,725","395,947","13,600",0,"7,500","140,193","2,486",0,"255,031","136,967","1,146,541","325,295",0,0,"14,768","55,136","54,870",0,"297,037","399,436","1,014,920","323,030",0,0,"7,000","89,722",0,0,"316,198","278,971","3,113,186","1,044,272","13,600",0,"29,268","285,052","57,356",0,"868,266","815,373"
,     Breakbulk,,,"51,974","33,157",,,,,,,"18,817",,"37,897","19,430",,,,,,,"18,467",,"55,559","31,530",,,,,,,"24,029",,"145,429","84,116",0,0,0,0,0,0,"61,313",0
,     Bulk,,,"551,960","15,000","13,600",,"7,500","140,193",2486,,"236,214","136,967","802,780",,,,"14,768","55,136",54870,,"278,570","399,436","674,461","6,600",,,"7,000","89,722",,,"292,169","278,971","2,029,201","21,600","13,600",0,"29,268","285,052","57,356",0,"806,953","815,373"
,     Containerized,,,"347,791","347,791",0,,,,,,0,,"305,865","305,865",,,,,,,0,,"284,900","284,900",,,,,,,-,,"938,556","938,556",0,0,0,0,0,0,0,0
,     Rolling,,,0,,0,,,,,,0,,0,,,,,,,,0,,0,,,,,,,,-,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container (TEU),,,,"76,236","40,774","22,255",442,"8,478","3,339",0,0,0,948,"80,078","40,872","23,721",597,"9,821","4,037",0,0,0,"1,031","77,072","37,249","21,338",642,"12,608","4,162",0,0,0,"1,074","233,385","118,895","67,314","1,680","30,906","11,538",0,0,0,"3,053"
,Domestic,,,"36,262","1,780","21,275",442,"8,478","3,339",0,0,0,948,"43,074","3,926","23,663",597,"9,821","4,037",0,0,0,"1,031","41,532","2,611","20,448",642,"12,596","4,162",0,0,0,"1,074","120,867","8,317","65,386","1,680","30,894","11,538",0,0,0,"3,053"
,  Inbound,,,"20,084","1,068","12,124",220,"4,208","1,972",0,0,0,492,"23,545","2,028","13,589",312,"4,916","2,181",0,0,0,520,"22,506","1,415","11,527",346,"6,211","2,330",0,0,0,678,"66,134","4,511","37,240",877,"15,334","6,483",0,0,0,"1,690"
,     Empties,,,"2,333",,857,92,893,,,,,492,"2,207",80,688,115,804,,,,,520,"1,972",5,548,157,584,,,,,678,"6,512",85,"2,093",363,"2,281",0,0,0,0,"1,690"
,     Fulls,,,"17,751","1,068","11,268",129,"3,315","1,972",,,,,"21,338","1,948","12,901",197,"4,112","2,181",,,,,"20,535",1410,"10,979",189,"5,627","2,330",,,,,"59,623","4,426","35,147",514,"13,053","6,483",0,0,0,0
,  Outbound,,,"16,178",712,"9,151",222,"4,270","1,367",0,0,0,456,"19,529","1,898","10,074",285,"4,905","1,856",0,0,0,511,"19,026","1,196","8,921",296,"6,385","1,832",0,0,0,396,"54,733","3,806","28,146",803,"15,560","5,055",0,0,0,"1,363"
,     Empties,,,"5,718",386,"2,629",0,"2,546",158,,,,,"6,557","1,114","2,041",0,"3,051",351,,,,,"7,111",835,"1,972",0,"3,988",316,,,,,"19,386","2,335","6,642",0,"9,584",825,0,0,0,0
,     Fulls,,,"10,460",326,"6,523",222,"1,725","1,209",,,,456,"12,972",784,"8,033",285,"1,854","1,505",,,,511,"11,916",361,"6,949",296,"2,398","1,516",,,,396,"35,348","1,471","21,505",803,"5,976","4,230",0,0,0,"1,363"
,Foreign,,,"38,994","38,994",0,0,0,0,0,0,0,0,"36,946","36,946",0,0,0,0,0,0,0,0,"34,638","34,638",0,0,0,0,0,0,0,0,"110,578","110,578",0,0,0,0,0,0,0,0
,  Export,,,"19,020","19,020",0,0,0,0,0,0,0,0,"19,248","19,248",0,0,0,0,,0,0,0,"18,175","18,175",0,0,0,0,,0,0,0,"56,443","56,443",0,0,0,0,0,0,0,0
,     Empties,,,"13,827","13,827",,,,,,,,,"14,250","14,250",,,,,,,,,"13,996","13,996",,,,,,0,,,"42,072","42,072",0,0,0,0,0,0,0,0
,     Fulls,,,"5,193","5,193",,,,,,,,,"4,998","4,998",,,,,,,,,"4,179","4,179",,,,,,0,,,"14,371","14,371",0,0,0,0,0,0,0,0
,  Import,,,"19,974","19,974",0,0,0,0,0,0,0,0,"17,698","17,698",0,0,0,0,0,0,0,0,"16,463","16,463",0,0,0,0,0,0,0,0,"54,135","54,135",0,0,0,0,0,0,0,0
,     Empties,,,100,100,,,,,,,,,220,220,,,,,,,,,183,183,,,,,,,,,503,503,0,0,0,0,0,0,0,0
,     Fulls,,,"19,874","19,874",,,,,,,,,"17,478","17,478",,,,,,,,,"16,280","16,280",,,,,,,,,"53,632","53,632",0,0,0,0,0,0,0,0
,     Domestic transhipment,,,980,0,980,0,0,0,0,0,0,0,58,,58,0,0,0,0,0,0,0,903,,890,0,12.5,0,0,0,0,0,"1,941",0,"1,928",0,13,0,0,0,0,0
