CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 3RD QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,JULY 2023,,,,,,,,,TOTAL,AUGUST 2023,,,,,,,,,TOTAL,SEPTEMBER 2023,,,,,,,,,TOTAL,3RD QUARTER 2023,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,     Breakbulk,,,"318,789","2,508","65,993","15,935","42,262","22,798","4,744","1,461","31,130","131,958","362,554","4,602","74,894","19,552","35,137","  22,062 ","2,080",326,"54,786","149,116","364,074","1,267","72,114","  19,136 ","35,850","21,668","1,042",,"45,480","167,518","1,045,417","8,377","213,001","54,623","113,249","66,527","7,865","1,788","131,396","448,592"
,     Bulk,,,"84,446",,0,"5,400","11,660",407,,,"2,567","64,413","96,677",,0,"2,815","14,100","  1,000 ","5,068",,220,"73,474","118,807",,0,"  2,100 ","14,668",,,,220,"101,819","299,930",0,0,"10,315","40,428","1,407","5,068",0,"3,007","239,705"
,     Containerized,,,"203,543","2,660","119,026","4,778","46,375","24,806",,,0,"5,898","198,144",333,"116,200","4,795","44,774","  30,205 ",,,0,"1,838","194,049",578,"120,811","  3,264 ","34,064","32,550",,,0,"2,783","595,735","3,570","356,038","12,836","125,213","87,561",0,0,0,"10,518"
,     Rolling,,,"1,593,626",,"127,364","116,824","60,702","177,868","228,005","283,700","299,407","299,757","1,602,261",,"122,196","118,842","57,224","  204,049 ","205,303","303,132","291,720","299,797","1,491,284",,"113,474","  104,094 ","62,342","183,470","206,378","280,292","275,991","265,243","4,687,171",0,"363,034","339,760","180,267","565,387","639,685","867,124","867,118","864,797"
,Foreign,,,"1,332,985","372,912",0,0,"17,466","59,761","27,501",0,"590,726","264,618","1,224,721","435,650",0,0,"9,800","165,047",0,0,"226,883","387,340","1,066,656","419,671",0,0,"12,894","61,925","63,258",0,"259,806","249,103","3,624,363","1,228,234",0,0,"40,161","286,733","90,759",0,"1,077,414","901,061"
,   Export,,,"113,864","73,137",0,0,0,0,0,0,"18,727","22,000","154,281","76,160",0,0,0,0,0,0,"11,121","67,000","132,411","75,342",0,0,0,0,0,0,"11,069","46,000","400,555","224,639",0,0,0,0,0,0,"40,916","135,000"
,     Breakbulk,,,"18,727",,0,0,0,0,0,0,"18,727",,121,,0,0,0,0,0,,121,,0,,0,0,0,0,0,0,0,,"18,848",0,0,0,0,0,0,0,"18,848",0
,     Bulk,,,"22,000",,0,0,0,0,0,0,,"22,000","78,000",,0,0,0,0,0,0,"11,000","67,000","57,069",,0,0,0,0,0,0,"11,069","46,000","157,069",0,0,0,0,0,0,0,"22,069","135,000"
,     Containerized,,,"73,137","73,137",0,0,0,0,0,0,0,,"76,160","76,160",0,0,0,0,0,0,0,,"75,342","75,342",0,0,0,0,0,0,0,,"224,639","224,639",0,0,0,0,0,0,0,0
,     Rolling,,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
,  Import,,,"1,219,121","299,775",0,0,"17,466","59,761","27,501",0,"571,999","242,618","1,070,440","359,490",0,0,"9,800","165,047",0,0,"215,762","320,340","934,246","344,329",0,0,"12,894","61,925","63,258",0,"248,737","203,103","3,223,808","1,003,595",0,0,"40,161","286,733","90,759",0,"1,036,498","766,061"
,     Breakbulk,,,"33,335","27,017",0,0,0,,,0,"6,318",,"51,286","28,102",0,0,0,,0,0,"23,185",,"60,349","43,105",0,0,0,,,0,"17,244",,"144,970","98,223",0,0,0,0,0,0,"46,747",0
,     Bulk,,,"928,528","15,500",0,0,"17,466","59,761","  27,501 ",0,"565,681","242,618","687,765",,0,0,"9,800","165,047",0,0,"192,577","320,340","592,777","20,104",0,0,"12,894","61,925",63258,0,"231,493","203,103","2,209,070","35,604",0,0,"40,161","286,733","90,759",0,"989,751","766,061"
,     Containerized,,,"257,259","257,259",0,0,0,,,0,0,,"331,389","331,389",0,0,0,,0,0,0,,"281,120","281,120",0,0,0,,,0,0,,"869,768","869,768",0,0,0,0,0,0,0,0
,     Rolling,,,0,,0,0,0,,,0,0,,0,,0,0,0,,0,0,0,,0,,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container (TEU),,,,"72,129","34,782","19,767",583,"11,853","4,423",0,0,0,723,"79,653","38,140","21,888",560,"13,533","5,128",0,0,0,405,"69,541","34,344","20,514",469,"9,160","4,729",0,0,0,326,"221,322","107,265","62,168","1,611","34,546","14,279",0,0,0,"1,454"
,Domestic,,,"38,254","1,247","19,427",583,"11,853","4,423",0,0,0,723,"40,741",80,"21,038",560,"13,531","5,128",0,0,0,405,"34,749",104,"19,962",469,"9,160","4,729",0,0,0,326,"113,744","1,431","60,426","1,611","34,543","14,279",0,0,0,"1,454"
,  Inbound,,,"20,677",689,"10,761",310,"6,165","2,366",0,0,0,386,"23,244",55,"12,202",286,"7,617","2,785",0,0,0,300,"18,807",61,"11,116",282,"4,442","2,739",0,0,0,167,"62,728",805,"34,079",877,"18,224","7,890",0,0,0,853
,     Empties,,,"1,566",,344,160,646,30,,,,386,"1,634",12,405,143,760,14,,,,300,"1,502",5,487,95,683,66,,,,167,"4,701",17,"1,236",398,"2,088",110,0,0,0,853
,     Fulls,,,"19,111",689,"10,417",150,"5,519","2,336",,,,,"21,611",43,"11,797",143,"6,858","2,771",,,,,"17,305",56,"10,630",187,"3,760","2,673",,,,,"58,027",788,"32,844",480,"16,136","7,780",0,0,0,0
,  Outbound,,,"17,578",558,"8,666",273,"5,688","2,057",0,0,0,337,"17,497",25,"8,836",274,"5,914","2,343",0,0,0,105,"15,942",43,"8,846",187,"4,718","1,990",0,0,0,159,"51,016",626,"26,347",734,"16,319","6,390",0,0,0,601
,     Empties,,,"5,947",406,"1,864",0,"3,038",639,,,,,"6,174",6,"2,196",0,"3,355",617,,,,,"4,766",10,"1,854",0,"2,772",130,,,,,"16,886",422,"5,914",0,"9,164","1,386",0,0,0,0
,     Fulls,,,"11,631",152,"6,802",273,"2,650","1,418",,,,337,"11,323",19,"6,640",274,"2,559","1,726",,,,105,"11,177",33,"6,992",187,"1,947","1,860",,,,159,"34,130",204,"20,433",734,"7,155","5,004",0,0,0,601
,Foreign,,,"33,535","33,535",0,0,0,0,0,0,0,0,"38,060","38,060",0,0,0,0,0,0,0,0,"34,240","34,240",0,0,0,0,0,0,0,0,"105,834","105,834",0,0,0,0,0,0,0,0
,  Export,,,"18,019","18,019",0,0,0,0,0,0,0,0,"18,987","18,987",0,0,0,0,,0,0,0,"17,904","17,904",0,0,0,0,,0,0,0,"54,909","54,909",0,0,0,0,0,0,0,0
,     Empties,,,"13,839","13,839",,0,,0,,,,0,"14,635","14,635",,,,,,,,,"13,598","13,598",,,,,,0,,,"42,073","42,073",0,0,0,0,0,0,0,0
,     Fulls,,,"4,179","4,179",,0,,0,,,,0,"4,352","4,352",,,,,,,,,"4,305","4,305",,,,,,0,,,"12,837","12,837",0,0,0,0,0,0,0,0
,  Import,,,"15,517","15,517",0,0,0,0,0,0,0,0,"19,073","19,073",0,0,0,0,0,0,0,0,"16,336","16,336",0,0,0,0,0,0,0,0,"50,925","50,925",0,0,0,0,0,0,0,0
,     Empties,,,816,816,,0,,0,,,,0,136,136,,,,,,,,,272,272,,,,,,,,,"1,224","1,224",0,0,0,0,0,0,0,0
,     Fulls,,,"14,701","14,701",,0,,0,,,,0,"18,937","18,937",,,,,,,,,"16,064","16,064",,,,,,,,,"49,701","49,701",0,0,0,0,0,0,0,0
,     Domestic transhipment,,,340,0,340,0,0,0,0,0,0,0,853,,850,0,2.5,0,0,0,0,0,552,,552,0,0,0,0,0,0,0,"1,745",0,"1,742",0,3,0,0,0,0,0
,        Inbound,,,340,0,340,0,0,0,0,0,0,0,428,,425,0,2.5,0,0,0,0,0,276,,276,0,0,0,0,0,0,0,"2,438",0,"1,041",0,3,0,0,0,0,0
,              Empties,,,0,,,0,,0,,,,,4,,4,,,,,,,,0,,,,,,,,,,"1,741",0,4,0,0,0,0,0,0,0
,              Fulls,,,340,,340,0,,0,,,,,424,,421,,2.5,,,,,,276,,276,,,,,,,,"1,040",0,"1,037",0,3,0,0,0,0,0
,        Outbound,,,0,0,0,0,0,0,0,0,0,0,425,,425,0,0,0,0,0,0,0,276,,276,0,0,0,0,0,0,0,701,0,701,0,0,0,0,0,0,0
,              Empties,,,0,,,0,,0,,,,,4,,4,,,,,,,,0,,,,,,,,,,697,0,4,0,0,0,0,0,0,0
,              Fulls,,,0,,,0,,0,,,,,421,,421,,,,,,,,276,,276,,,,,,,,697,0,697,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Rolling Cargoes (No. of Units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic,,,"  146,791 ",  -   ,"  9,553 ","  13,359 ","  4,619 ","  9,186 ","  21,725 ","  25,164 ","  26,415 ","  36,770 ","  143,880 ",  -   ,"  9,263 ","  13,438 ","  4,305 ","  11,341 ","  17,753 ","  26,935 ","  25,125 ","  35,720 ","  122,972 ",  -   ,"  7,668 ","  10,744 ","  4,261 ","  9,985 ","  15,852 ","  22,551 ","  21,715 ","  30,196 ","  413,643 ",  -   ,"  26,484 ","  37,541 ","  13,185 ","  30,512 ","  55,330 ","  74,650 ","  73,255 ","  102,686 "
,  Inbound,,,"  74,235 ",  -   ,"  5,090 ","  6,669 ","  2,242 ","  4,463 ","  10,912 ","  12,568 ","  13,666 ","  18,625 ","  72,929 ",  -   ,"  4,992 ","  6,856 ","  2,098 ","  5,515 ","  8,841 ","  13,563 ","  12,887 ","  18,177 ","  61,930 ",  -   ,"  3,989 ","  5,191 ","  2,064 ","  4,966 ","  7,882 ","  11,349 ","  11,089 ","  15,400 ","  209,094 ",  -   ,"  14,071 ","  18,716 ","  6,404 ","  14,944 ","  27,635 ","  37,480 ","  37,642 ","  52,202 "
,     10W  26000-over,,,"  8,462 ",,"  1,254 ",  190 ,  725 ,1780,  314 ,"  2,318 ",  837 ,"  1,044 ","  8,953 ",,"  1,253 ",  241 ,  725 ,1975,  332 ,"  2,465 ",  815 ,"  1,147 ","  8,901 ",,"  1,317 ",  151 ,  885 ,1966,  331 ,"  2,432 ",  725 ,"  1,094 ","  26,316 ",0,"3,824",582,"2,335","5,721",977,"7,215","2,377","3,285"
,     4W  1100-2300,,,"  12,122 ",,  750 ,"  1,476 ",  204 ,,"  3,414 ","  1,249 ","  2,138 ","  2,891 ","  10,580 ",,  671 ,"  1,429 ",  111 ,,"  2,505 ","  1,344 ","  1,827 ","  2,693 ","  7,817 ",,  432 ,  985 ,  123 ,,"  1,771 ",  963 ,"  1,393 ","  2,150 ","  30,519 ",0,"1,853","3,890",438,0,"7,690","3,556","5,358","7,734"
,     4W  2400-over,,,"  16,198 ",,"  1,643 ","  1,478 ",  424 ,1018,  4 ,"  3,724 ","  2,573 ","  5,334 ","  15,987 ",,"  1,537 ","  1,437 ",  411 ,1351,  8 ,"  3,835 ","  2,480 ","  4,928 ","  11,659 ",,"  1,053 ",  976 ,  311 ,1137,  3 ,"  2,874 ","  1,762 ","  3,543 ","  43,844 ",0,"4,233","3,891","1,146","3,506",15,"10,433","6,815","13,805"
,     6W  4800-7500,,,"  4,867 ",,  76 ,  512 ,  180 ,,"  1,730 ",  571 ,  717 ,"  1,081 ","  4,358 ",,  85 ,  538 ,  90 ,,"  1,429 ",  593 ,  571 ,"  1,052 ","  4,376 ",,  64 ,  537 ,  71 ,,"  1,346 ",  575 ,  642 ,"  1,141 ","  13,601 ",0,225,"1,587",341,0,"4,505","1,739","1,930","3,274"
,     6W  7600-15000,,,"  5,718 ",,  255 ,  545 ,  38 ,1094,  8 ,"  1,939 ",  623 ,"  1,216 ","  6,506 ",,  269 ,  561 ,  107 ,1403,  27 ,"  2,170 ",  784 ,"  1,185 ","  5,905 ",,  270 ,  544 ,  127 ,1175,  18 ,"  2,053 ",  632 ,"  1,086 ","  18,129 ",0,794,"1,650",272,"3,672",53,"6,162","2,039","3,487"
,     8W-10W  20000-25000,,,"  9,904 ",,  10 ,"  1,004 ",  -   ,13,"  2,916 ",  121 ,"  3,521 ","  2,319 ","  9,710 ",,  25 ,"  1,041 ",  3 ,26,"  2,592 ",  120 ,"  3,486 ","  2,417 ","  9,970 ",,  10 ,  927 ,  12 ,13,"  2,845 ",  171 ,"  3,601 ","  2,391 ","  29,584 ",0,45,"2,972",15,52,"8,353",412,"10,608","7,127"
,     Heavy Equipment,,,  63 ,,  6 ,  -   ,  2 ,10,  11 ,  8 ,  24 ,  2 ,  43 ,,  3 ,  -   ,  2 ,14,  7 ,  9 ,  5 ,  3 ,  49 ,,  4 ,  -   ,  3 ,2,  -   ,  4 ,  36 ,,  155 ,0,13,0,7,26,18,21,65,5
