Quarter,Passengers
2013-01-01,2047
2013-04-01,2290
2013-07-01,2032
2013-10-01,2064
2014-01-01,1942
2014-04-01,2232
2014-07-01,2018
2014-10-01,2004
2015-01-01,2045
2015-04-01,2233
2015-07-01,2013
2015-10-01,2163
2016-01-01,2358
2016-04-01,2569
2016-07-01,2379
2016-10-01,2392
2017-01-01,2328
2017-04-01,2630
2017-07-01,2692
2017-10-01,2532
2018-01-01,2446
2018-04-01,2848
2018-07-01,2594
2018-10-01,2580
2019-01-01,3804
2019-04-01,3906
2019-07-01,3605
2019-10-01,3883
2020-01-01,4845
2020-04-01,175
2020-07-01,460
2020-10-01,743
2021-01-01,915
2021-04-01,894
2021-07-01,615
2021-10-01,1053
2022-01-01,1347
2022-04-01,1744
2022-07-01,2036
2022-10-01,2141
2023-01-01,2475
2023-04-01,2648
2023-07-01,2487
2023-10-01,2727
