original,forecast
2024-01-01,12.935181832035939
2024-04-01,12.931153776371861
2024-07-01,12.841751155589751
2024-10-01,12.85096633809584
2025-01-01,12.788729755185882
2025-04-01,12.803346081092391
2025-07-01,12.7589233339941
2025-10-01,12.774841285556747
2026-01-01,12.742399537277693
2026-04-01,12.757602369711218
2026-07-01,12.733431490974175
2026-10-01,12.747039571898908
2027-01-01,12.728725685788005
2027-04-01,12.740461823409252
2027-07-01,12.72639492663692
2027-10-01,12.736285428431074
2028-01-01,12.72536342303251
2028-04-01,12.733573720636407
2028-07-01,12.72502245789982
2028-10-01,12.731769028004575
2029-01-01,12.725031302958838
2029-04-01,12.730536421548116
2029-07-01,12.725202283627207
2029-10-01,12.729672478469832
2030-01-01,12.725434562800238
2030-04-01,12.729051888108962
2030-07-01,12.725676103651383
2030-10-01,12.728596108853473
2031-01-01,12.725901909421236
2031-04-01,12.728254893257995
2031-07-01,12.726101647725509
2031-10-01,12.72799533789609
2032-01-01,12.726272671394648
2032-04-01,12.727795345522008
2032-07-01,12.726416131161615
2032-10-01,12.72763968420354
2033-01-01,12.726534850534295
2033-04-01,12.727517582672327
2033-07-01,12.726632197511618
2033-10-01,12.727421240508408
2034-01-01,12.726711514069358
2034-04-01,12.72734488791747
2034-07-01,12.726775852691665
2034-10-01,12.727284179431543
2035-01-01,12.726827877728645
2035-04-01,12.727235793403917
2035-07-01,12.726869851683102
2035-10-01,12.727197160561623
2036-01-01,12.726903662178014
2036-04-01,12.727166275175856
2036-07-01,12.726930865626503
2036-10-01,12.727141560371239
2037-01-01,12.726952735053903
2037-04-01,12.727121769820823
2037-07-01,12.726970305883908
2037-10-01,12.727105914541129
2038-01-01,12.726984416976675
2038-04-01,12.727093207449489
2038-07-01,12.726995746050221
2038-10-01,12.727083020792985
2039-01-01,12.727004839546803
2039-04-01,12.727074853103646
2039-07-01,12.727012137434096
2039-10-01,12.727068303331633
2040-01-01,12.727017993589609
2040-04-01,12.727063050467345
2040-07-01,12.727022692436808
2040-10-01,12.727058837410457
2041-01-01,12.727026462455328
2041-04-01,12.727055458155117
2041-07-01,12.727029487114432
2041-10-01,12.727052747582741
2042-01-01,12.727031913699326
2042-04-01,12.727050573316047
2042-07-01,12.72703386042382
2042-10-01,12.7270488292089
2043-01-01,12.727035422154797
2043-04-01,12.727047430138104
2043-07-01,12.727036675015237
2043-10-01,12.727046307833632
2044-01-01,12.727037680083042
2044-04-01,12.727045407538437
2044-07-01,12.727038486361902
2044-10-01,12.727044685331737
2045-01-01,12.72703913316664
2045-04-01,12.72704410598337
2045-07-01,12.727039652037966
2045-10-01,12.72704364123349
2046-01-01,12.727040068279207
2046-04-01,12.727043268413084
2046-07-01,12.727040402189486
2046-10-01,12.727042969337678
2047-01-01,12.727040670053224
2047-04-01,12.72704272942003
2047-07-01,12.72704088493405
2047-10-01,12.72704253695846
2048-01-01,12.727041057311766
2048-04-01,12.727042382565998
2048-07-01,12.727041195593358
2048-10-01,12.727042258712482
2049-01-01,12.727041306522963
2049-04-01,12.727042159357255
2049-07-01,12.727041395510762
2049-10-01,12.727042079654527
2050-01-01,12.727041466896814
2050-04-01,12.727042015717018
2050-07-01,12.727041524162733
2050-10-01,12.727041964426357
2051-01-01,12.72704157010147
2051-04-01,12.727041923280993
2051-07-01,12.727041606953534
2051-10-01,12.727041890274183
2052-01-01,12.727041636516269
2052-04-01,12.72704186379612
2052-07-01,12.7270416602315
2052-10-01,12.727041842555419
2053-01-01,12.727041679255862
2053-04-01,12.727041825516126
2053-07-01,12.727041694517206
2053-10-01,12.727041811847204
