original,forecast
2024-01-01,464243.79011524544
2024-04-01,512792.10950935027
2024-07-01,436878.9681784183
2024-10-01,442093.60033746535
2025-01-01,488688.4051879066
2025-04-01,554764.6385312083
2025-07-01,468722.9183997921
2025-10-01,471833.39999466046
2026-01-01,507581.1498293875
2026-04-01,580312.5045591603
2026-07-01,501539.2868286193
2026-10-01,504940.5705128887
2027-01-01,532721.4590576174
2027-04-01,604140.480569836
2027-07-01,529962.7528312036
2027-10-01,536258.031127882
2028-01-01,561310.8551388553
2028-04-01,630097.8826144848
2028-07-01,556824.2554421145
2028-10-01,565314.5195735045
2029-01-01,590392.3871977829
2029-04-01,657728.9777826479
2029-07-01,583931.356816196
2029-10-01,593255.3621981848
2030-01-01,618959.2630965714
2030-04-01,685944.0490449924
2030-07-01,611593.700395493
2030-10-01,620974.4916066759
2031-01-01,647074.7895955908
2031-04-01,714156.7856157462
2031-07-01,639566.2813898025
2031-10-01,648799.0693602605
2032-01-01,675013.7574621636
2032-04-01,742236.7253250907
2032-07-01,667615.3203739367
2032-10-01,676740.7050321465
2033-01-01,702940.0721353297
2033-04-01,770231.7818682195
2033-07-01,695644.2508372323
2033-10-01,704733.8609035676
2034-01-01,730897.7541523722
2034-04-01,798202.0375418788
2034-07-01,723643.1802287484
2034-10-01,732733.8811188128
2035-01-01,758878.4142776905
2035-04-01,826175.3733469913
2035-07-01,751627.3475111844
2035-10-01,760726.766786731
2036-01-01,786866.8085268766
2036-04-01,854156.2442285058
2036-07-01,779608.7531070205
2036-10-01,788713.53010173
2037-01-01,814855.0235743613
2037-04-01,882141.2663292349
2037-07-01,807591.6919457291
2037-10-01,816697.9581128814
2038-01-01,842841.3906249328
2038-04-01,910127.2674323708
2038-07-01,835576.2347087124
2038-10-01,844682.2573313386
2039-01-01,870826.6104494567
2039-04-01,938112.9674938894
2039-07-01,863561.46450879
2039-10-01,872666.9970107161
2040-01-01,898811.5071982817
2040-04-01,966098.2547903472
2040-07-01,891546.7763896273
2040-10-01,900652.0485475232
2041-01-01,926796.4533968172
2041-04-01,994083.3443263085
2041-07-01,919531.9870812633
2041-10-01,928637.2017738199
2042-01-01,954781.5037510776
2042-04-01,1022068.3992764646
2042-07-01,947517.1143676293
2042-10-01,956622.3504668024
2043-01-01,982766.6099478763
2043-04-01,1050053.4763120892
2043-07-01,975502.2107359146
2043-10-01,984607.4734639943
2044-01-01,1010751.7286886798
2044-04-01,1078038.575286734
2044-07-01,1003487.3059254681
2044-10-01,1012592.5809669441
2045-01-01,1038736.8429779166
2045-04-01,1106023.6834093616
2045-07-01,1031472.4072847259
2045-10-01,1040577.6842716482
2046-01-01,1066721.9515965313
2046-04-01,1134008.7924943606
2046-07-01,1059457.512872196
2046-10-01,1068562.7883503346
2047-01-01,1094707.057569044
2047-04-01,1161993.9001481326
2047-07-01,1087442.6197940581
2047-10-01,1096547.8938669134
2048-01-01,1122692.1631118753
2048-04-01,1189979.0066667055
2048-07-01,1115427.7266259745
2048-10-01,1124533.0001339514
2049-01-01,1150677.2689714776
2049-04-01,1217964.1127765572
2049-07-01,1143412.8331011347
2049-10-01,1152518.1065610163
2050-01-01,1178662.375130878
2050-04-01,1245949.218878136
2050-07-01,1171397.9393672263
2050-10-01,1180503.2129227647
2051-01-01,1206647.4814119318
2051-04-01,1273934.3250659716
2051-07-01,1199383.0455789177
2051-10-01,1208488.3192066923
2052-01-01,1234632.5877039817
2052-04-01,1301919.4313110812
2052-07-01,1227368.1518024972
2052-10-01,1236473.4254552533
2053-01-01,1262617.6939758398
2053-04-01,1329904.5375736658
2053-07-01,1255353.2580459032
2053-10-01,1264458.5316985259
