original,forecast
2024-01-01,577970.9121188807
2024-04-01,567242.8005141761
2024-07-01,517018.5516947543
2024-10-01,545036.1297654157
2025-01-01,597911.6489022877
2025-04-01,586615.9809940525
2025-07-01,527669.6029535641
2025-10-01,561396.213401612
2026-01-01,616077.5197387672
2026-04-01,606752.202098555
2026-07-01,547340.1693045378
2026-10-01,583190.6787400227
2027-01-01,638677.5181755228
2027-04-01,630428.5796887134
2027-07-01,571284.3884766982
2027-10-01,607934.9809101124
2028-01-01,663756.159714967
2028-04-01,655965.5174380784
2028-07-01,596996.2018755288
2028-10-01,633949.9081792065
2029-01-01,689906.2144967583
2029-04-01,682297.2655386656
2029-07-01,623407.7236719211
2029-10-01,660476.5968491583
2030-01-01,716486.8950930797
2030-04-01,708948.2181697589
2030-07-01,650091.8645970619
2030-10-01,687204.5706424296
2031-01-01,743236.316626718
2031-04-01,735724.5796438351
2031-07-01,676881.5956139028
2031-10-01,714011.0053171413
2032-01-01,770051.2407728435
2032-04-01,762549.8019593343
2032-07-01,703712.1342618769
2032-10-01,740847.9158365119
2033-01-01,796891.5029539578
2033-04-01,789393.9983593451
2033-07-01,730558.4320296068
2033-10-01,767696.6464608338
2034-01-01,823741.5540894477
2034-04-01,816245.5528667867
2034-07-01,757410.8144045388
2034-10-01,794549.9585060839
2035-01-01,850595.3854854925
2035-04-01,843099.9590665717
2035-07-01,784265.546048775
2035-10-01,821405.0456840656
2036-01-01,877450.6766076222
2036-04-01,869955.4701064572
2036-07-01,811121.1848137187
2036-10-01,848260.820515722
2037-01-01,904306.5314167817
2037-04-01,896811.409112203
2037-07-01,837977.1738782515
2037-10-01,875116.8616905616
2038-01-01,931162.6039167289
2038-04-01,923667.5138684158
2038-07-01,864833.298230467
2038-10-01,901973.0060127998
2039-01-01,958018.7604946848
2039-04-01,950523.6828117078
2039-07-01,891689.4748366963
2039-10-01,928829.1902767582
2040-01-01,984874.9495488357
2040-04-01,977379.8766088819
2040-07-01,918545.6716275852
2040-10-01,955685.3900057836
2041-01-01,1011731.1511484417
2041-04-01,1004236.0800288048
2041-07-01,945401.8762160729
2041-10-01,982541.5957221943
2042-01-01,1038587.3575947225
2042-04-01,1031092.2871740686
2042-07-01,972258.0838171191
2042-10-01,1009397.8037564595
2043-01-01,1065443.56591356
2043-04-01,1057948.4957614406
2043-07-01,999114.292582137
2043-10-01,1036254.0126879498
2044-01-01,1092299.774955929
2044-04-01,1084804.7049070224
2044-07-01,1025970.5017969137
2044-10-01,1063110.221966725
2045-01-01,1119155.9842778798
2045-04-01,1111660.9142686606
2045-07-01,1052826.711185488
2045-10-01,1089966.4313799136
2046-01-01,1146012.1937078708
2046-04-01,1138517.123713919
2046-07-01,1079682.9206412265
2046-10-01,1116822.640845122
2047-01-01,1172868.4031796153
2047-04-01,1165373.333191538
2047-07-01,1106539.1301229212
2047-10-01,1143678.8503304617
2048-01-01,1199724.6126674963
2048-04-01,1192229.5426816808
2048-07-01,1133395.3396146481
2048-10-01,1170535.0598235927
2049-01-01,1226580.8221616144
2049-04-01,1219085.75217667
2049-07-01,1160251.549110253
2049-10-01,1197391.2693197373
2050-01-01,1253437.0316581433
2050-04-01,1245941.9616735342
2050-07-01,1187107.7586073563
2050-10-01,1224247.4788170492
2051-01-01,1280293.241155604
2051-04-01,1272798.1711711239
2051-07-01,1213963.9681050389
2051-10-01,1251103.688314812
2052-01-01,1307149.4506534243
2052-04-01,1299654.3806689945
2052-07-01,1240820.1776029456
2052-10-01,1277959.8978127497
2053-01-01,1334005.6601513845
2053-04-01,1326510.5901669736
2053-07-01,1267676.3871009387
2053-10-01,1304816.1073107547
